date,commodity,market,price,unit,state
2023-01-01,Banana,Chennai,32.0,per_kg,Tamil Nadu
2023-01-01,Banana,Chennai,34.63,per_kg,Tamil Nadu
2023-01-02,Banana,Chennai,33.0,per_kg,Tamil Nadu
2023-01-02,Banana,Chennai,34.91,per_kg,Tamil Nadu
2023-01-03,Banana,Chennai,31.0,per_kg,Tamil Nadu
2023-01-03,Banana,Chennai,35.16,per_kg,Tamil Nadu
2023-01-04,Banana,Chennai,34.0,per_kg,Tamil Nadu
2023-01-04,Banana,Chennai,34.97,per_kg,Tamil Nadu
2023-01-05,Banana,Chennai,35.0,per_kg,Tamil Nadu
2023-01-05,Banana,Chennai,36.23,per_kg,Tamil Nadu
2023-01-06,Banana,Chennai,36.58,per_kg,Tamil Nadu
2023-01-07,Banana,Chennai,35.5,per_kg,Tamil Nadu
2023-01-08,Banana,Chennai,35.78,per_kg,Tamil Nadu
2023-01-09,Banana,Chennai,35.55,per_kg,Tamil Nadu
2023-01-10,Banana,Chennai,35.54,per_kg,Tamil Nadu
2023-01-11,Banana,Chennai,36.38,per_kg,Tamil Nadu
2023-01-12,Banana,Chennai,35.79,per_kg,Tamil Nadu
2023-01-13,Banana,Chennai,34.34,per_kg,Tamil Nadu
2023-01-14,Banana,Chennai,36.06,per_kg,Tamil Nadu
2023-01-15,Banana,Chennai,36.77,per_kg,Tamil Nadu
2023-01-16,Banana,Chennai,36.71,per_kg,Tamil Nadu
2023-01-17,Banana,Chennai,36.45,per_kg,Tamil Nadu
2023-01-18,Banana,Chennai,36.22,per_kg,Tamil Nadu
2023-01-19,Banana,Chennai,36.61,per_kg,Tamil Nadu
2023-01-20,Banana,Chennai,36.28,per_kg,Tamil Nadu
2023-01-21,Banana,Chennai,35.6,per_kg,Tamil Nadu
2023-01-22,Banana,Chennai,36.22,per_kg,Tamil Nadu
2023-01-23,Banana,Chennai,38.29,per_kg,Tamil Nadu
2023-01-24,Banana,Chennai,35.51,per_kg,Tamil Nadu
2023-01-25,Banana,Chennai,35.61,per_kg,Tamil Nadu
2023-01-26,Banana,Chennai,34.79,per_kg,Tamil Nadu
2023-01-27,Banana,Chennai,37.41,per_kg,Tamil Nadu
2023-01-28,Banana,Chennai,36.13,per_kg,Tamil Nadu
2023-01-29,Banana,Chennai,37.01,per_kg,Tamil Nadu
2023-01-30,Banana,Chennai,37.34,per_kg,Tamil Nadu
2023-01-31,Banana,Chennai,36.09,per_kg,Tamil Nadu
2023-02-01,Banana,Chennai,34.0,per_kg,Tamil Nadu
2023-02-01,Banana,Chennai,38.21,per_kg,Tamil Nadu
2023-02-02,Banana,Chennai,36.0,per_kg,Tamil Nadu
2023-02-02,Banana,Chennai,36.84,per_kg,Tamil Nadu
2023-02-03,Banana,Chennai,35.0,per_kg,Tamil Nadu
2023-02-03,Banana,Chennai,37.85,per_kg,Tamil Nadu
2023-02-04,Banana,Chennai,37.0,per_kg,Tamil Nadu
2023-02-04,Banana,Chennai,36.36,per_kg,Tamil Nadu
2023-02-05,Banana,Chennai,38.0,per_kg,Tamil Nadu
2023-02-05,Banana,Chennai,36.67,per_kg,Tamil Nadu
2023-02-06,Banana,Chennai,36.18,per_kg,Tamil Nadu
2023-02-07,Banana,Chennai,37.3,per_kg,Tamil Nadu
2023-02-08,Banana,Chennai,38.2,per_kg,Tamil Nadu
2023-02-09,Banana,Chennai,37.25,per_kg,Tamil Nadu
2023-02-10,Banana,Chennai,37.29,per_kg,Tamil Nadu
2023-02-11,Banana,Chennai,37.43,per_kg,Tamil Nadu
2023-02-12,Banana,Chennai,36.08,per_kg,Tamil Nadu
2023-02-13,Banana,Chennai,37.67,per_kg,Tamil Nadu
2023-02-14,Banana,Chennai,38.91,per_kg,Tamil Nadu
2023-02-15,Banana,Chennai,37.15,per_kg,Tamil Nadu
2023-02-16,Banana,Chennai,38.08,per_kg,Tamil Nadu
2023-02-17,Banana,Chennai,37.72,per_kg,Tamil Nadu
2023-02-18,Banana,Chennai,38.63,per_kg,Tamil Nadu
2023-02-19,Banana,Chennai,37.22,per_kg,Tamil Nadu
2023-02-20,Banana,Chennai,38.07,per_kg,Tamil Nadu
2023-02-21,Banana,Chennai,39.36,per_kg,Tamil Nadu
2023-02-22,Banana,Chennai,38.46,per_kg,Tamil Nadu
2023-02-23,Banana,Chennai,38.23,per_kg,Tamil Nadu
2023-02-24,Banana,Chennai,38.35,per_kg,Tamil Nadu
2023-02-25,Banana,Chennai,38.13,per_kg,Tamil Nadu
2023-02-26,Banana,Chennai,37.16,per_kg,Tamil Nadu
2023-02-27,Banana,Chennai,38.16,per_kg,Tamil Nadu
2023-02-28,Banana,Chennai,37.92,per_kg,Tamil Nadu
2023-03-01,Banana,Chennai,36.0,per_kg,Tamil Nadu
2023-03-01,Banana,Chennai,38.04,per_kg,Tamil Nadu
2023-03-02,Banana,Chennai,38.0,per_kg,Tamil Nadu
2023-03-02,Banana,Chennai,39.32,per_kg,Tamil Nadu
2023-03-03,Banana,Chennai,37.0,per_kg,Tamil Nadu
2023-03-03,Banana,Chennai,37.22,per_kg,Tamil Nadu
2023-03-04,Banana,Chennai,39.0,per_kg,Tamil Nadu
2023-03-04,Banana,Chennai,37.3,per_kg,Tamil Nadu
2023-03-05,Banana,Chennai,40.0,per_kg,Tamil Nadu
2023-03-05,Banana,Chennai,37.04,per_kg,Tamil Nadu
2023-03-06,Banana,Chennai,38.31,per_kg,Tamil Nadu
2023-03-07,Banana,Chennai,38.21,per_kg,Tamil Nadu
2023-03-08,Banana,Chennai,38.63,per_kg,Tamil Nadu
2023-03-09,Banana,Chennai,37.75,per_kg,Tamil Nadu
