date,commodity,market,price,unit,state
2023-01-01,Chilli,Chennai,127.11,per_kg,Tamil Nadu
2023-01-02,Chilli,Chennai,112.76,per_kg,Tamil Nadu
2023-01-03,Chilli,Chennai,121.29,per_kg,Tamil Nadu
2023-01-04,Chilli,Chennai,122.0,per_kg,Tamil Nadu
2023-01-05,Chilli,Chennai,126.09,per_kg,Tamil Nadu
2023-01-06,Chilli,Chennai,123.09,per_kg,Tamil Nadu
2023-01-07,Chilli,Chennai,118.96,per_kg,Tamil Nadu
2023-01-08,Chilli,Chennai,121.14,per_kg,Tamil Nadu
2023-01-09,Chilli,Chennai,126.75,per_kg,Tamil Nadu
2023-01-10,Chilli,Chennai,121.12,per_kg,Tamil Nadu
2023-01-11,Chilli,Chennai,134.01,per_kg,Tamil Nadu
2023-01-12,Chilli,Chennai,125.83,per_kg,Tamil Nadu
2023-01-13,Chilli,Chennai,130.42,per_kg,Tamil Nadu
2023-01-14,Chilli,Chennai,118.14,per_kg,Tamil Nadu
2023-01-15,Chilli,Chennai,126.1,per_kg,Tamil Nadu
2023-01-16,Chilli,Chennai,123.13,per_kg,Tamil Nadu
2023-01-17,Chilli,Chennai,136.73,per_kg,Tamil Nadu
2023-01-18,Chilli,Chennai,122.73,per_kg,Tamil Nadu
2023-01-19,Chilli,Chennai,127.52,per_kg,Tamil Nadu
2023-01-20,Chilli,Chennai,129.55,per_kg,Tamil Nadu
2023-01-21,Chilli,Chennai,118.25,per_kg,Tamil Nadu
2023-01-22,Chilli,Chennai,135.4,per_kg,Tamil Nadu
2023-01-23,Chilli,Chennai,124.5,per_kg,Tamil Nadu
2023-01-24,Chilli,Chennai,131.95,per_kg,Tamil Nadu
2023-01-25,Chilli,Chennai,120.06,per_kg,Tamil Nadu
2023-01-26,Chilli,Chennai,127.06,per_kg,Tamil Nadu
2023-01-27,Chilli,Chennai,124.18,per_kg,Tamil Nadu
2023-01-28,Chilli,Chennai,123.49,per_kg,Tamil Nadu
2023-01-29,Chilli,Chennai,132.41,per_kg,Tamil Nadu
2023-01-30,Chilli,Chennai,124.01,per_kg,Tamil Nadu
2023-01-31,Chilli,Chennai,124.88,per_kg,Tamil Nadu
2023-02-01,Chilli,Chennai,126.04,per_kg,Tamil Nadu
2023-02-02,Chilli,Chennai,123.88,per_kg,Tamil Nadu
2023-02-03,Chilli,Chennai,129.62,per_kg,Tamil Nadu
2023-02-04,Chilli,Chennai,129.67,per_kg,Tamil Nadu
2023-02-05,Chilli,Chennai,133.34,per_kg,Tamil Nadu
2023-02-06,Chilli,Chennai,134.85,per_kg,Tamil Nadu
2023-02-07,Chilli,Chennai,132.7,per_kg,Tamil Nadu
2023-02-08,Chilli,Chennai,137.61,per_kg,Tamil Nadu
2023-02-09,Chilli,Chennai,128.71,per_kg,Tamil Nadu
2023-02-10,Chilli,Chennai,129.73,per_kg,Tamil Nadu
2023-02-11,Chilli,Chennai,127.95,per_kg,Tamil Nadu
2023-02-12,Chilli,Chennai,129.54,per_kg,Tamil Nadu
2023-02-13,Chilli,Chennai,133.33,per_kg,Tamil Nadu
2023-02-14,Chilli,Chennai,126.06,per_kg,Tamil Nadu
2023-02-15,Chilli,Chennai,127.18,per_kg,Tamil Nadu
2023-02-16,Chilli,Chennai,127.58,per_kg,Tamil Nadu
2023-02-17,Chilli,Chennai,123.99,per_kg,Tamil Nadu
2023-02-18,Chilli,Chennai,124.21,per_kg,Tamil Nadu
2023-02-19,Chilli,Chennai,134.25,per_kg,Tamil Nadu
2023-02-20,Chilli,Chennai,133.19,per_kg,Tamil Nadu
2023-02-21,Chilli,Chennai,137.62,per_kg,Tamil Nadu
2023-02-22,Chilli,Chennai,122.43,per_kg,Tamil Nadu
2023-02-23,Chilli,Chennai,130.48,per_kg,Tamil Nadu
2023-02-24,Chilli,Chennai,128.31,per_kg,Tamil Nadu
2023-02-25,Chilli,Chennai,124.87,per_kg,Tamil Nadu
2023-02-26,Chilli,Chennai,134.04,per_kg,Tamil Nadu
2023-02-27,Chilli,Chennai,125.56,per_kg,Tamil Nadu
2023-02-28,Chilli,Chennai,140.84,per_kg,Tamil Nadu
2023-03-01,Chilli,Chennai,132.26,per_kg,Tamil Nadu
2023-03-02,Chilli,Chennai,131.17,per_kg,Tamil Nadu
2023-03-03,Chilli,Chennai,127.41,per_kg,Tamil Nadu
2023-03-04,Chilli,Chennai,137.09,per_kg,Tamil Nadu
2023-03-05,Chilli,Chennai,135.48,per_kg,Tamil Nadu
2023-03-06,Chilli,Chennai,142.03,per_kg,Tamil Nadu
2023-03-07,Chilli,Chennai,132.62,per_kg,Tamil Nadu
2023-03-08,Chilli,Chennai,130.87,per_kg,Tamil Nadu
