date,commodity,market,price,unit,state
2023-01-01,Coconut,Chennai,52.0,per_kg,Tamil Nadu
2023-01-01,Coconut,Chennai,60.45,per_kg,Tamil Nadu
2023-01-02,Coconut,Chennai,54.0,per_kg,Tamil Nadu
2023-01-02,Coconut,Chennai,58.65,per_kg,Tamil Nadu
2023-01-03,Coconut,Chennai,53.0,per_kg,Tamil Nadu
2023-01-03,Coconut,Chennai,57.38,per_kg,Tamil Nadu
2023-01-04,Coconut,Chennai,55.0,per_kg,Tamil Nadu
2023-01-04,Coconut,Chennai,58.67,per_kg,Tamil Nadu
2023-01-05,Coconut,Chennai,58.0,per_kg,Tamil Nadu
2023-01-05,Coconut,Chennai,58.96,per_kg,Tamil Nadu
2023-01-06,Coconut,Chennai,58.29,per_kg,Tamil Nadu
2023-01-07,Coconut,Chennai,58.61,per_kg,Tamil Nadu
2023-01-08,Coconut,Chennai,57.98,per_kg,Tamil Nadu
2023-01-09,Coconut,Chennai,58.26,per_kg,Tamil Nadu
2023-01-10,Coconut,Chennai,59.55,per_kg,Tamil Nadu
2023-01-11,Coconut,Chennai,58.99,per_kg,Tamil Nadu
2023-01-12,Coconut,Chennai,58.29,per_kg,Tamil Nadu
2023-01-13,Coconut,Chennai,60.45,per_kg,Tamil Nadu
2023-01-14,Coconut,Chennai,59.77,per_kg,Tamil Nadu
2023-01-15,Coconut,Chennai,57.95,per_kg,Tamil Nadu
2023-01-16,Coconut,Chennai,58.29,per_kg,Tamil Nadu
2023-01-17,Coconut,Chennai,58.0,per_kg,Tamil Nadu
2023-01-18,Coconut,Chennai,57.83,per_kg,Tamil Nadu
2023-01-19,Coconut,Chennai,57.72,per_kg,Tamil Nadu
2023-01-20,Coconut,Chennai,61.02,per_kg,Tamil Nadu
2023-01-21,Coconut,Chennai,60.06,per_kg,Tamil Nadu
2023-01-22,Coconut,Chennai,60.34,per_kg,Tamil Nadu
2023-01-23,Coconut,Chennai,62.8,per_kg,Tamil Nadu
2023-01-24,Coconut,Chennai,61.4,per_kg,Tamil Nadu
2023-01-25,Coconut,Chennai,62.49,per_kg,Tamil Nadu
2023-01-26,Coconut,Chennai,61.41,per_kg,Tamil Nadu
2023-01-27,Coconut,Chennai,59.62,per_kg,Tamil Nadu
2023-01-28,Coconut,Chennai,61.5,per_kg,Tamil Nadu
2023-01-29,Coconut,Chennai,62.63,per_kg,Tamil Nadu
2023-01-30,Coconut,Chennai,58.94,per_kg,Tamil Nadu
2023-01-31,Coconut,Chennai,59.61,per_kg,Tamil Nadu
