date,commodity,market,price,unit,state
2023-01-01,Garlic,Chennai,87.12,per_kg,Tamil Nadu
2023-01-02,Garlic,Chennai,79.61,per_kg,Tamil Nadu
2023-01-03,Garlic,Chennai,83.9,per_kg,Tamil Nadu
2023-01-04,Garlic,Chennai,82.06,per_kg,Tamil Nadu
2023-01-05,Garlic,Chennai,84.52,per_kg,Tamil Nadu
2023-01-06,Garlic,Chennai,85.15,per_kg,Tamil Nadu
2023-01-07,Garlic,Chennai,87.35,per_kg,Tamil Nadu
2023-01-08,Garlic,Chennai,80.48,per_kg,Tamil Nadu
2023-01-09,Garlic,Chennai,86.91,per_kg,Tamil Nadu
2023-01-10,Garlic,Chennai,85.54,per_kg,Tamil Nadu
2023-01-11,Garlic,Chennai,87.16,per_kg,Tamil Nadu
2023-01-12,Garlic,Chennai,82.96,per_kg,Tamil Nadu
2023-01-13,Garlic,Chennai,84.58,per_kg,Tamil Nadu
2023-01-14,Garlic,Chennai,89.86,per_kg,Tamil Nadu
2023-01-15,Garlic,Chennai,93.29,per_kg,Tamil Nadu
2023-01-16,Garlic,Chennai,93.56,per_kg,Tamil Nadu
2023-01-17,Garlic,Chennai,87.25,per_kg,Tamil Nadu
2023-01-18,Garlic,Chennai,83.67,per_kg,Tamil Nadu
2023-01-19,Garlic,Chennai,89.47,per_kg,Tamil Nadu
2023-01-20,Garlic,Chennai,91.97,per_kg,Tamil Nadu
2023-01-21,Garlic,Chennai,90.8,per_kg,Tamil Nadu
2023-01-22,Garlic,Chennai,86.95,per_kg,Tamil Nadu
2023-01-23,Garlic,Chennai,85.48,per_kg,Tamil Nadu
2023-01-24,Garlic,Chennai,87.79,per_kg,Tamil Nadu
2023-01-25,Garlic,Chennai,94.31,per_kg,Tamil Nadu
2023-01-26,Garlic,Chennai,87.78,per_kg,Tamil Nadu
2023-01-27,Garlic,Chennai,90.59,per_kg,Tamil Nadu
2023-01-28,Garlic,Chennai,91.79,per_kg,Tamil Nadu
2023-01-29,Garlic,Chennai,89.41,per_kg,Tamil Nadu
2023-01-30,Garlic,Chennai,92.01,per_kg,Tamil Nadu
2023-01-31,Garlic,Chennai,90.61,per_kg,Tamil Nadu
2023-02-01,Garlic,Chennai,89.02,per_kg,Tamil Nadu
2023-02-02,Garlic,Chennai,90.64,per_kg,Tamil Nadu
2023-02-03,Garlic,Chennai,89.65,per_kg,Tamil Nadu
2023-02-04,Garlic,Chennai,93.62,per_kg,Tamil Nadu
2023-02-05,Garlic,Chennai,96.79,per_kg,Tamil Nadu
2023-02-06,Garlic,Chennai,90.96,per_kg,Tamil Nadu
2023-02-07,Garlic,Chennai,93.0,per_kg,Tamil Nadu
2023-02-08,Garlic,Chennai,97.78,per_kg,Tamil Nadu
2023-02-09,Garlic,Chennai,85.63,per_kg,Tamil Nadu
2023-02-10,Garlic,Chennai,85.68,per_kg,Tamil Nadu
2023-02-11,Garlic,Chennai,93.54,per_kg,Tamil Nadu
2023-02-12,Garlic,Chennai,91.83,per_kg,Tamil Nadu
2023-02-13,Garlic,Chennai,91.55,per_kg,Tamil Nadu
2023-02-14,Garlic,Chennai,90.49,per_kg,Tamil Nadu
2023-02-15,Garlic,Chennai,92.0,per_kg,Tamil Nadu
2023-02-16,Garlic,Chennai,92.84,per_kg,Tamil Nadu
2023-02-17,Garlic,Chennai,95.08,per_kg,Tamil Nadu
2023-02-18,Garlic,Chennai,94.87,per_kg,Tamil Nadu
2023-02-19,Garlic,Chennai,89.68,per_kg,Tamil Nadu
2023-02-20,Garlic,Chennai,96.7,per_kg,Tamil Nadu
2023-02-21,Garlic,Chennai,92.33,per_kg,Tamil Nadu
2023-02-22,Garlic,Chennai,95.92,per_kg,Tamil Nadu
2023-02-23,Garlic,Chennai,94.29,per_kg,Tamil Nadu
2023-02-24,Garlic,Chennai,92.85,per_kg,Tamil Nadu
2023-02-25,Garlic,Chennai,90.03,per_kg,Tamil Nadu
2023-02-26,Garlic,Chennai,95.31,per_kg,Tamil Nadu
2023-02-27,Garlic,Chennai,97.26,per_kg,Tamil Nadu
2023-02-28,Garlic,Chennai,93.07,per_kg,Tamil Nadu
2023-03-01,Garlic,Chennai,97.56,per_kg,Tamil Nadu
2023-03-02,Garlic,Chennai,94.18,per_kg,Tamil Nadu
2023-03-03,Garlic,Chennai,93.25,per_kg,Tamil Nadu
2023-03-04,Garlic,Chennai,90.79,per_kg,Tamil Nadu
2023-03-05,Garlic,Chennai,93.62,per_kg,Tamil Nadu
2023-03-06,Garlic,Chennai,90.8,per_kg,Tamil Nadu
2023-03-07,Garlic,Chennai,95.17,per_kg,Tamil Nadu
2023-03-08,Garlic,Chennai,93.18,per_kg,Tamil Nadu
2023-03-09,Garlic,Chennai,97.92,per_kg,Tamil Nadu
2023-03-10,Garlic,Chennai,92.19,per_kg,Tamil Nadu
2023-03-11,Garlic,Chennai,95.39,per_kg,Tamil Nadu
2023-03-12,Garlic,Chennai,97.0,per_kg,Tamil Nadu
2023-03-13,Garlic,Chennai,97.0,per_kg,Tamil Nadu
2023-03-14,Garlic,Chennai,91.99,per_kg,Tamil Nadu
2023-03-15,Garlic,Chennai,94.36,per_kg,Tamil Nadu
2023-03-16,Garlic,Chennai,96.15,per_kg,Tamil Nadu
2023-03-17,Garlic,Chennai,93.84,per_kg,Tamil Nadu
2023-03-18,Garlic,Chennai,98.41,per_kg,Tamil Nadu
2023-03-19,Garlic,Chennai,93.92,per_kg,Tamil Nadu
2023-03-20,Garlic,Chennai,96.17,per_kg,Tamil Nadu
2023-03-21,Garlic,Chennai,93.21,per_kg,Tamil Nadu
2023-03-22,Garlic,Chennai,94.18,per_kg,Tamil Nadu
2023-03-23,Garlic,Chennai,99.19,per_kg,Tamil Nadu
2023-03-24,Garlic,Chennai,96.29,per_kg,Tamil Nadu
2023-03-25,Garlic,Chennai,96.59,per_kg,Tamil Nadu
2023-03-26,Garlic,Chennai,94.11,per_kg,Tamil Nadu
2023-03-27,Garlic,Chennai,97.93,per_kg,Tamil Nadu
2023-03-28,Garlic,Chennai,95.7,per_kg,Tamil Nadu
2023-03-29,Garlic,Chennai,97.2,per_kg,Tamil Nadu
2023-03-30,Garlic,Chennai,96.26,per_kg,Tamil Nadu
2023-03-31,Garlic,Chennai,97.16,per_kg,Tamil Nadu
2023-04-01,Garlic,Chennai,95.16,per_kg,Tamil Nadu
2023-04-02,Garlic,Chennai,93.97,per_kg,Tamil Nadu
2023-04-03,Garlic,Chennai,101.12,per_kg,Tamil Nadu
2023-04-04,Garlic,Chennai,97.23,per_kg,Tamil Nadu
2023-04-05,Garlic,Chennai,92.24,per_kg,Tamil Nadu
2023-04-06,Garlic,Chennai,91.19,per_kg,Tamil Nadu
2023-04-07,Garlic,Chennai,97.54,per_kg,Tamil Nadu
2023-04-08,Garlic,Chennai,96.94,per_kg,Tamil Nadu
2023-04-09,Garlic,Chennai,94.85,per_kg,Tamil Nadu
2023-04-10,Garlic,Chennai,95.77,per_kg,Tamil Nadu
2023-04-11,Garlic,Chennai,102.12,per_kg,Tamil Nadu
2023-04-12,Garlic,Chennai,97.33,per_kg,Tamil Nadu
2023-04-13,Garlic,Chennai,100.72,per_kg,Tamil Nadu
2023-04-14,Garlic,Chennai,98.68,per_kg,Tamil Nadu
2023-04-15,Garlic,Chennai,92.47,per_kg,Tamil Nadu
2023-04-16,Garlic,Chennai,102.49,per_kg,Tamil Nadu
2023-04-17,Garlic,Chennai,97.48,per_kg,Tamil Nadu
2023-04-18,Garlic,Chennai,92.35,per_kg,Tamil Nadu
2023-04-19,Garlic,Chennai,95.93,per_kg,Tamil Nadu
2023-04-20,Garlic,Chennai,94.29,per_kg,Tamil Nadu
2023-04-21,Garlic,Chennai,93.37,per_kg,Tamil Nadu
2023-04-22,Garlic,Chennai,96.72,per_kg,Tamil Nadu
2023-04-23,Garlic,Chennai,93.02,per_kg,Tamil Nadu
2023-04-24,Garlic,Chennai,91.7,per_kg,Tamil Nadu
2023-04-25,Garlic,Chennai,100.33,per_kg,Tamil Nadu
2023-04-26,Garlic,Chennai,92.54,per_kg,Tamil Nadu
2023-04-27,Garlic,Chennai,95.77,per_kg,Tamil Nadu
2023-04-28,Garlic,Chennai,88.67,per_kg,Tamil Nadu
2023-04-29,Garlic,Chennai,93.06,per_kg,Tamil Nadu
2023-04-30,Garlic,Chennai,97.44,per_kg,Tamil Nadu
2023-05-01,Garlic,Chennai,94.71,per_kg,Tamil Nadu
2023-05-02,Garlic,Chennai,99.31,per_kg,Tamil Nadu
2023-05-03,Garlic,Chennai,97.61,per_kg,Tamil Nadu
2023-05-04,Garlic,Chennai,86.91,per_kg,Tamil Nadu
2023-05-05,Garlic,Chennai,94.52,per_kg,Tamil Nadu
2023-05-06,Garlic,Chennai,97.63,per_kg,Tamil Nadu
2023-05-07,Garlic,Chennai,94.52,per_kg,Tamil Nadu
2023-05-08,Garlic,Chennai,92.36,per_kg,Tamil Nadu
2023-05-09,Garlic,Chennai,98.23,per_kg,Tamil Nadu
2023-05-10,Garlic,Chennai,97.36,per_kg,Tamil Nadu
2023-05-11,Garlic,Chennai,96.63,per_kg,Tamil Nadu
2023-05-12,Garlic,Chennai,90.06,per_kg,Tamil Nadu
2023-05-13,Garlic,Chennai,95.54,per_kg,Tamil Nadu
2023-05-14,Garlic,Chennai,95.51,per_kg,Tamil Nadu
2023-05-15,Garlic,Chennai,93.27,per_kg,Tamil Nadu
2023-05-16,Garlic,Chennai,88.24,per_kg,Tamil Nadu
2023-05-17,Garlic,Chennai,96.49,per_kg,Tamil Nadu
2023-05-18,Garlic,Chennai,97.74,per_kg,Tamil Nadu
2023-05-19,Garlic,Chennai,96.85,per_kg,Tamil Nadu
2023-05-20,Garlic,Chennai,87.77,per_kg,Tamil Nadu
2023-05-21,Garlic,Chennai,97.94,per_kg,Tamil Nadu
2023-05-22,Garlic,Chennai,90.35,per_kg,Tamil Nadu
2023-05-23,Garlic,Chennai,94.92,per_kg,Tamil Nadu
2023-05-24,Garlic,Chennai,92.48,per_kg,Tamil Nadu
2023-05-25,Garlic,Chennai,92.99,per_kg,Tamil Nadu
2023-05-26,Garlic,Chennai,98.5,per_kg,Tamil Nadu
2023-05-27,Garlic,Chennai,93.17,per_kg,Tamil Nadu
2023-05-28,Garlic,Chennai,95.51,per_kg,Tamil Nadu
2023-05-29,Garlic,Chennai,93.39,per_kg,Tamil Nadu
2023-05-30,Garlic,Chennai,96.03,per_kg,Tamil Nadu
2023-05-31,Garlic,Chennai,92.24,per_kg,Tamil Nadu
2023-06-01,Garlic,Chennai,89.7,per_kg,Tamil Nadu
2023-06-02,Garlic,Chennai,96.23,per_kg,Tamil Nadu
2023-06-03,Garlic,Chennai,94.8,per_kg,Tamil Nadu
2023-06-04,Garlic,Chennai,88.1,per_kg,Tamil Nadu
2023-06-05,Garlic,Chennai,96.65,per_kg,Tamil Nadu
2023-06-06,Garlic,Chennai,92.94,per_kg,Tamil Nadu
2023-06-07,Garlic,Chennai,96.18,per_kg,Tamil Nadu
2023-06-08,Garlic,Chennai,90.2,per_kg,Tamil Nadu
2023-06-09,Garlic,Chennai,92.4,per_kg,Tamil Nadu
2023-06-10,Garlic,Chennai,90.44,per_kg,Tamil Nadu
2023-06-11,Garlic,Chennai,90.65,per_kg,Tamil Nadu
2023-06-12,Garlic,Chennai,90.16,per_kg,Tamil Nadu
2023-06-13,Garlic,Chennai,87.51,per_kg,Tamil Nadu
2023-06-14,Garlic,Chennai,90.41,per_kg,Tamil Nadu
2023-06-15,Garlic,Chennai,87.29,per_kg,Tamil Nadu
2023-06-16,Garlic,Chennai,89.0,per_kg,Tamil Nadu
2023-06-17,Garlic,Chennai,88.52,per_kg,Tamil Nadu
2023-06-18,Garlic,Chennai,87.04,per_kg,Tamil Nadu
2023-06-19,Garlic,Chennai,91.26,per_kg,Tamil Nadu
2023-06-20,Garlic,Chennai,87.74,per_kg,Tamil Nadu
2023-06-21,Garlic,Chennai,86.73,per_kg,Tamil Nadu
2023-06-22,Garlic,Chennai,88.08,per_kg,Tamil Nadu
2023-06-23,Garlic,Chennai,89.53,per_kg,Tamil Nadu
2023-06-24,Garlic,Chennai,85.66,per_kg,Tamil Nadu
2023-06-25,Garlic,Chennai,87.01,per_kg,Tamil Nadu
2023-06-26,Garlic,Chennai,90.96,per_kg,Tamil Nadu
2023-06-27,Garlic,Chennai,87.39,per_kg,Tamil Nadu
2023-06-28,Garlic,Chennai,87.22,per_kg,Tamil Nadu
2023-06-29,Garlic,Chennai,78.4,per_kg,Tamil Nadu
2023-06-30,Garlic,Chennai,85.18,per_kg,Tamil Nadu
2023-07-01,Garlic,Chennai,89.02,per_kg,Tamil Nadu
2023-07-02,Garlic,Chennai,81.05,per_kg,Tamil Nadu
2023-07-03,Garlic,Chennai,85.99,per_kg,Tamil Nadu
2023-07-04,Garlic,Chennai,91.81,per_kg,Tamil Nadu
2023-07-05,Garlic,Chennai,84.72,per_kg,Tamil Nadu
2023-07-06,Garlic,Chennai,85.1,per_kg,Tamil Nadu
2023-07-07,Garlic,Chennai,86.51,per_kg,Tamil Nadu
2023-07-08,Garlic,Chennai,88.66,per_kg,Tamil Nadu
2023-07-09,Garlic,Chennai,87.41,per_kg,Tamil Nadu
2023-07-10,Garlic,Chennai,87.31,per_kg,Tamil Nadu
2023-07-11,Garlic,Chennai,88.66,per_kg,Tamil Nadu
2023-07-12,Garlic,Chennai,87.34,per_kg,Tamil Nadu
2023-07-13,Garlic,Chennai,86.6,per_kg,Tamil Nadu
2023-07-14,Garlic,Chennai,85.11,per_kg,Tamil Nadu
2023-07-15,Garlic,Chennai,82.16,per_kg,Tamil Nadu
2023-07-16,Garlic,Chennai,88.33,per_kg,Tamil Nadu
2023-07-17,Garlic,Chennai,85.73,per_kg,Tamil Nadu
2023-07-18,Garlic,Chennai,83.61,per_kg,Tamil Nadu
2023-07-19,Garlic,Chennai,85.41,per_kg,Tamil Nadu
2023-07-20,Garlic,Chennai,86.03,per_kg,Tamil Nadu
2023-07-21,Garlic,Chennai,82.36,per_kg,Tamil Nadu
2023-07-22,Garlic,Chennai,81.62,per_kg,Tamil Nadu
2023-07-23,Garlic,Chennai,85.61,per_kg,Tamil Nadu
2023-07-24,Garlic,Chennai,80.57,per_kg,Tamil Nadu
2023-07-25,Garlic,Chennai,81.85,per_kg,Tamil Nadu
2023-07-26,Garlic,Chennai,81.45,per_kg,Tamil Nadu
2023-07-27,Garlic,Chennai,84.21,per_kg,Tamil Nadu
2023-07-28,Garlic,Chennai,87.89,per_kg,Tamil Nadu
2023-07-29,Garlic,Chennai,79.54,per_kg,Tamil Nadu
2023-07-30,Garlic,Chennai,83.08,per_kg,Tamil Nadu
2023-07-31,Garlic,Chennai,87.27,per_kg,Tamil Nadu
