date,commodity,market,price,unit,state
2023-01-01,Onion,Chennai,36.48,per_kg,Tamil Nadu
2023-01-02,Onion,Chennai,33.58,per_kg,Tamil Nadu
2023-01-03,Onion,Chennai,34.8,per_kg,Tamil Nadu
2023-01-04,Onion,Chennai,36.77,per_kg,Tamil Nadu
2023-01-05,Onion,Chennai,34.86,per_kg,Tamil Nadu
2023-01-06,Onion,Chennai,28.0,per_kg,Tamil Nadu
2023-01-06,Onion,Chennai,33.68,per_kg,Tamil Nadu
2023-01-07,Onion,Chennai,30.0,per_kg,Tamil Nadu
2023-01-07,Onion,Chennai,38.6,per_kg,Tamil Nadu
2023-01-08,Onion,Chennai,32.0,per_kg,Tamil Nadu
2023-01-08,Onion,Chennai,34.44,per_kg,Tamil Nadu
2023-01-09,Onion,Chennai,29.0,per_kg,Tamil Nadu
2023-01-09,Onion,Chennai,33.37,per_kg,Tamil Nadu
2023-01-10,Onion,Chennai,31.0,per_kg,Tamil Nadu
2023-01-10,Onion,Chennai,39.51,per_kg,Tamil Nadu
2023-01-11,Onion,Chennai,34.13,per_kg,Tamil Nadu
2023-01-12,Onion,Chennai,36.52,per_kg,Tamil Nadu
2023-01-13,Onion,Chennai,34.24,per_kg,Tamil Nadu
2023-01-14,Onion,Chennai,37.01,per_kg,Tamil Nadu
2023-01-15,Onion,Chennai,38.09,per_kg,Tamil Nadu
2023-01-16,Onion,Chennai,36.64,per_kg,Tamil Nadu
2023-01-17,Onion,Chennai,37.76,per_kg,Tamil Nadu
2023-01-18,Onion,Chennai,37.31,per_kg,Tamil Nadu
2023-01-19,Onion,Chennai,35.42,per_kg,Tamil Nadu
2023-01-20,Onion,Chennai,35.82,per_kg,Tamil Nadu
2023-01-21,Onion,Chennai,35.38,per_kg,Tamil Nadu
2023-01-22,Onion,Chennai,36.24,per_kg,Tamil Nadu
2023-01-23,Onion,Chennai,38.26,per_kg,Tamil Nadu
2023-01-24,Onion,Chennai,35.97,per_kg,Tamil Nadu
2023-01-25,Onion,Chennai,35.16,per_kg,Tamil Nadu
2023-01-26,Onion,Chennai,40.7,per_kg,Tamil Nadu
2023-01-27,Onion,Chennai,39.48,per_kg,Tamil Nadu
2023-01-28,Onion,Chennai,38.01,per_kg,Tamil Nadu
2023-01-29,Onion,Chennai,38.19,per_kg,Tamil Nadu
2023-01-30,Onion,Chennai,40.34,per_kg,Tamil Nadu
2023-01-31,Onion,Chennai,37.77,per_kg,Tamil Nadu
2023-02-01,Onion,Chennai,33.0,per_kg,Tamil Nadu
2023-02-01,Onion,Chennai,37.16,per_kg,Tamil Nadu
2023-02-02,Onion,Chennai,35.0,per_kg,Tamil Nadu
2023-02-02,Onion,Chennai,37.06,per_kg,Tamil Nadu
2023-02-03,Onion,Chennai,38.0,per_kg,Tamil Nadu
2023-02-03,Onion,Chennai,38.69,per_kg,Tamil Nadu
2023-02-04,Onion,Chennai,36.0,per_kg,Tamil Nadu
2023-02-04,Onion,Chennai,37.66,per_kg,Tamil Nadu
2023-02-05,Onion,Chennai,40.0,per_kg,Tamil Nadu
2023-02-05,Onion,Chennai,36.46,per_kg,Tamil Nadu
2023-02-06,Onion,Chennai,39.01,per_kg,Tamil Nadu
2023-02-07,Onion,Chennai,39.62,per_kg,Tamil Nadu
2023-02-08,Onion,Chennai,41.58,per_kg,Tamil Nadu
2023-02-09,Onion,Chennai,42.13,per_kg,Tamil Nadu
2023-02-10,Onion,Chennai,37.6,per_kg,Tamil Nadu
2023-02-11,Onion,Chennai,38.38,per_kg,Tamil Nadu
2023-02-12,Onion,Chennai,38.43,per_kg,Tamil Nadu
2023-02-13,Onion,Chennai,39.32,per_kg,Tamil Nadu
2023-02-14,Onion,Chennai,42.3,per_kg,Tamil Nadu
2023-02-15,Onion,Chennai,37.2,per_kg,Tamil Nadu
2023-02-16,Onion,Chennai,38.17,per_kg,Tamil Nadu
2023-02-17,Onion,Chennai,38.51,per_kg,Tamil Nadu
2023-02-18,Onion,Chennai,40.05,per_kg,Tamil Nadu
2023-02-19,Onion,Chennai,41.08,per_kg,Tamil Nadu
2023-02-20,Onion,Chennai,39.34,per_kg,Tamil Nadu
2023-02-21,Onion,Chennai,36.82,per_kg,Tamil Nadu
2023-02-22,Onion,Chennai,42.32,per_kg,Tamil Nadu
2023-02-23,Onion,Chennai,40.47,per_kg,Tamil Nadu
2023-02-24,Onion,Chennai,38.75,per_kg,Tamil Nadu
2023-02-25,Onion,Chennai,40.98,per_kg,Tamil Nadu
2023-02-26,Onion,Chennai,42.97,per_kg,Tamil Nadu
2023-02-27,Onion,Chennai,38.79,per_kg,Tamil Nadu
2023-02-28,Onion,Chennai,40.19,per_kg,Tamil Nadu
2023-03-01,Onion,Chennai,40.0,per_kg,Tamil Nadu
2023-03-01,Onion,Chennai,40.77,per_kg,Tamil Nadu
2023-03-02,Onion,Chennai,42.0,per_kg,Tamil Nadu
2023-03-02,Onion,Chennai,43.51,per_kg,Tamil Nadu
2023-03-03,Onion,Chennai,38.0,per_kg,Tamil Nadu
2023-03-03,Onion,Chennai,42.55,per_kg,Tamil Nadu
2023-03-04,Onion,Chennai,45.0,per_kg,Tamil Nadu
2023-03-04,Onion,Chennai,41.72,per_kg,Tamil Nadu
2023-03-05,Onion,Chennai,43.0,per_kg,Tamil Nadu
2023-03-05,Onion,Chennai,40.04,per_kg,Tamil Nadu
2023-03-06,Onion,Chennai,40.86,per_kg,Tamil Nadu
2023-03-07,Onion,Chennai,38.67,per_kg,Tamil Nadu
2023-03-08,Onion,Chennai,38.08,per_kg,Tamil Nadu
2023-03-09,Onion,Chennai,42.13,per_kg,Tamil Nadu
2023-03-10,Onion,Chennai,45.98,per_kg,Tamil Nadu
2023-03-11,Onion,Chennai,41.23,per_kg,Tamil Nadu
2023-03-12,Onion,Chennai,40.89,per_kg,Tamil Nadu
2023-03-13,Onion,Chennai,41.26,per_kg,Tamil Nadu
2023-03-14,Onion,Chennai,41.48,per_kg,Tamil Nadu
2023-03-15,Onion,Chennai,41.13,per_kg,Tamil Nadu
2023-03-16,Onion,Chennai,44.04,per_kg,Tamil Nadu
2023-03-17,Onion,Chennai,39.74,per_kg,Tamil Nadu
2023-03-18,Onion,Chennai,42.27,per_kg,Tamil Nadu
2023-03-19,Onion,Chennai,44.17,per_kg,Tamil Nadu
2023-03-20,Onion,Chennai,40.95,per_kg,Tamil Nadu
2023-03-21,Onion,Chennai,40.75,per_kg,Tamil Nadu
2023-03-22,Onion,Chennai,41.06,per_kg,Tamil Nadu
2023-03-23,Onion,Chennai,43.91,per_kg,Tamil Nadu
2023-03-24,Onion,Chennai,45.65,per_kg,Tamil Nadu
2023-03-25,Onion,Chennai,43.72,per_kg,Tamil Nadu
2023-03-26,Onion,Chennai,45.19,per_kg,Tamil Nadu
2023-03-27,Onion,Chennai,43.0,per_kg,Tamil Nadu
2023-03-28,Onion,Chennai,44.44,per_kg,Tamil Nadu
2023-03-29,Onion,Chennai,41.7,per_kg,Tamil Nadu
2023-03-30,Onion,Chennai,38.47,per_kg,Tamil Nadu
2023-03-31,Onion,Chennai,44.59,per_kg,Tamil Nadu
2023-04-01,Onion,Chennai,43.05,per_kg,Tamil Nadu
2023-04-02,Onion,Chennai,43.8,per_kg,Tamil Nadu
2023-04-03,Onion,Chennai,42.68,per_kg,Tamil Nadu
2023-04-04,Onion,Chennai,41.46,per_kg,Tamil Nadu
2023-04-05,Onion,Chennai,41.1,per_kg,Tamil Nadu
2023-04-06,Onion,Chennai,42.82,per_kg,Tamil Nadu
2023-04-07,Onion,Chennai,38.8,per_kg,Tamil Nadu
2023-04-08,Onion,Chennai,43.72,per_kg,Tamil Nadu
2023-04-09,Onion,Chennai,42.7,per_kg,Tamil Nadu
2023-04-10,Onion,Chennai,42.06,per_kg,Tamil Nadu
2023-04-11,Onion,Chennai,40.02,per_kg,Tamil Nadu
2023-04-12,Onion,Chennai,42.27,per_kg,Tamil Nadu
2023-04-13,Onion,Chennai,42.49,per_kg,Tamil Nadu
2023-04-14,Onion,Chennai,41.35,per_kg,Tamil Nadu
2023-04-15,Onion,Chennai,38.0,per_kg,Tamil Nadu
2023-04-16,Onion,Chennai,39.36,per_kg,Tamil Nadu
2023-04-17,Onion,Chennai,41.73,per_kg,Tamil Nadu
2023-04-18,Onion,Chennai,40.04,per_kg,Tamil Nadu
2023-04-19,Onion,Chennai,42.59,per_kg,Tamil Nadu
2023-04-20,Onion,Chennai,40.52,per_kg,Tamil Nadu
2023-04-21,Onion,Chennai,42.26,per_kg,Tamil Nadu
2023-04-22,Onion,Chennai,43.47,per_kg,Tamil Nadu
2023-04-23,Onion,Chennai,44.64,per_kg,Tamil Nadu
2023-04-24,Onion,Chennai,42.27,per_kg,Tamil Nadu
2023-04-25,Onion,Chennai,41.78,per_kg,Tamil Nadu
2023-04-26,Onion,Chennai,39.65,per_kg,Tamil Nadu
2023-04-27,Onion,Chennai,43.3,per_kg,Tamil Nadu
2023-04-28,Onion,Chennai,41.69,per_kg,Tamil Nadu
2023-04-29,Onion,Chennai,39.89,per_kg,Tamil Nadu
2023-04-30,Onion,Chennai,39.55,per_kg,Tamil Nadu
2023-05-01,Onion,Chennai,41.17,per_kg,Tamil Nadu
2023-05-02,Onion,Chennai,40.69,per_kg,Tamil Nadu
2023-05-03,Onion,Chennai,40.94,per_kg,Tamil Nadu
2023-05-04,Onion,Chennai,41.27,per_kg,Tamil Nadu
2023-05-05,Onion,Chennai,44.34,per_kg,Tamil Nadu
2023-05-06,Onion,Chennai,45.09,per_kg,Tamil Nadu
2023-05-07,Onion,Chennai,41.4,per_kg,Tamil Nadu
2023-05-08,Onion,Chennai,42.9,per_kg,Tamil Nadu
2023-05-09,Onion,Chennai,42.73,per_kg,Tamil Nadu
2023-05-10,Onion,Chennai,44.71,per_kg,Tamil Nadu
2023-05-11,Onion,Chennai,43.84,per_kg,Tamil Nadu
2023-05-12,Onion,Chennai,43.12,per_kg,Tamil Nadu
2023-05-13,Onion,Chennai,42.05,per_kg,Tamil Nadu
2023-05-14,Onion,Chennai,42.93,per_kg,Tamil Nadu
2023-05-15,Onion,Chennai,40.05,per_kg,Tamil Nadu
2023-05-16,Onion,Chennai,39.64,per_kg,Tamil Nadu
2023-05-17,Onion,Chennai,40.59,per_kg,Tamil Nadu
2023-05-18,Onion,Chennai,40.38,per_kg,Tamil Nadu
2023-05-19,Onion,Chennai,42.42,per_kg,Tamil Nadu
2023-05-20,Onion,Chennai,41.32,per_kg,Tamil Nadu
2023-05-21,Onion,Chennai,40.87,per_kg,Tamil Nadu
