date,commodity,market,price,unit,state
2023-01-01,Potato,Chennai,21.9,per_kg,Tamil Nadu
2023-01-02,Potato,Chennai,22.44,per_kg,Tamil Nadu
2023-01-03,Potato,Chennai,20.52,per_kg,Tamil Nadu
2023-01-04,Potato,Chennai,23.29,per_kg,Tamil Nadu
2023-01-05,Potato,Chennai,21.52,per_kg,Tamil Nadu
2023-01-06,Potato,Chennai,21.46,per_kg,Tamil Nadu
2023-01-07,Potato,Chennai,23.75,per_kg,Tamil Nadu
2023-01-08,Potato,Chennai,22.73,per_kg,Tamil Nadu
2023-01-09,Potato,Chennai,23.31,per_kg,Tamil Nadu
2023-01-10,Potato,Chennai,21.08,per_kg,Tamil Nadu
2023-01-11,Potato,Chennai,22.82,per_kg,Tamil Nadu
2023-01-12,Potato,Chennai,24.61,per_kg,Tamil Nadu
2023-01-13,Potato,Chennai,23.58,per_kg,Tamil Nadu
2023-01-14,Potato,Chennai,23.4,per_kg,Tamil Nadu
2023-01-15,Potato,Chennai,22.3,per_kg,Tamil Nadu
2023-01-16,Potato,Chennai,24.22,per_kg,Tamil Nadu
2023-01-17,Potato,Chennai,25.06,per_kg,Tamil Nadu
2023-01-18,Potato,Chennai,22.37,per_kg,Tamil Nadu
2023-01-19,Potato,Chennai,22.09,per_kg,Tamil Nadu
2023-01-20,Potato,Chennai,24.23,per_kg,Tamil Nadu
2023-01-21,Potato,Chennai,21.37,per_kg,Tamil Nadu
2023-01-22,Potato,Chennai,23.74,per_kg,Tamil Nadu
2023-01-23,Potato,Chennai,24.8,per_kg,Tamil Nadu
2023-01-24,Potato,Chennai,22.01,per_kg,Tamil Nadu
2023-01-25,Potato,Chennai,22.41,per_kg,Tamil Nadu
2023-01-26,Potato,Chennai,24.22,per_kg,Tamil Nadu
2023-01-27,Potato,Chennai,24.76,per_kg,Tamil Nadu
2023-01-28,Potato,Chennai,25.1,per_kg,Tamil Nadu
2023-01-29,Potato,Chennai,23.95,per_kg,Tamil Nadu
2023-01-30,Potato,Chennai,24.38,per_kg,Tamil Nadu
2023-01-31,Potato,Chennai,23.26,per_kg,Tamil Nadu
2023-02-01,Potato,Chennai,24.7,per_kg,Tamil Nadu
2023-02-02,Potato,Chennai,24.28,per_kg,Tamil Nadu
2023-02-03,Potato,Chennai,25.37,per_kg,Tamil Nadu
2023-02-04,Potato,Chennai,23.69,per_kg,Tamil Nadu
2023-02-05,Potato,Chennai,25.08,per_kg,Tamil Nadu
2023-02-06,Potato,Chennai,26.36,per_kg,Tamil Nadu
2023-02-07,Potato,Chennai,24.95,per_kg,Tamil Nadu
2023-02-08,Potato,Chennai,24.95,per_kg,Tamil Nadu
2023-02-09,Potato,Chennai,23.51,per_kg,Tamil Nadu
2023-02-10,Potato,Chennai,24.96,per_kg,Tamil Nadu
2023-02-11,Potato,Chennai,23.87,per_kg,Tamil Nadu
2023-02-12,Potato,Chennai,25.37,per_kg,Tamil Nadu
2023-02-13,Potato,Chennai,27.15,per_kg,Tamil Nadu
2023-02-14,Potato,Chennai,23.53,per_kg,Tamil Nadu
2023-02-15,Potato,Chennai,24.05,per_kg,Tamil Nadu
2023-02-16,Potato,Chennai,24.32,per_kg,Tamil Nadu
2023-02-17,Potato,Chennai,25.53,per_kg,Tamil Nadu
2023-02-18,Potato,Chennai,24.38,per_kg,Tamil Nadu
2023-02-19,Potato,Chennai,26.53,per_kg,Tamil Nadu
2023-02-20,Potato,Chennai,25.39,per_kg,Tamil Nadu
2023-02-21,Potato,Chennai,26.68,per_kg,Tamil Nadu
2023-02-22,Potato,Chennai,25.42,per_kg,Tamil Nadu
2023-02-23,Potato,Chennai,25.95,per_kg,Tamil Nadu
2023-02-24,Potato,Chennai,25.17,per_kg,Tamil Nadu
2023-02-25,Potato,Chennai,24.91,per_kg,Tamil Nadu
2023-02-26,Potato,Chennai,26.76,per_kg,Tamil Nadu
2023-02-27,Potato,Chennai,26.0,per_kg,Tamil Nadu
2023-02-28,Potato,Chennai,24.43,per_kg,Tamil Nadu
2023-03-01,Potato,Chennai,28.24,per_kg,Tamil Nadu
2023-03-02,Potato,Chennai,25.41,per_kg,Tamil Nadu
2023-03-03,Potato,Chennai,25.7,per_kg,Tamil Nadu
2023-03-04,Potato,Chennai,26.74,per_kg,Tamil Nadu
2023-03-05,Potato,Chennai,26.91,per_kg,Tamil Nadu
2023-03-06,Potato,Chennai,26.97,per_kg,Tamil Nadu
2023-03-07,Potato,Chennai,26.42,per_kg,Tamil Nadu
2023-03-08,Potato,Chennai,26.73,per_kg,Tamil Nadu
2023-03-09,Potato,Chennai,28.35,per_kg,Tamil Nadu
2023-03-10,Potato,Chennai,24.7,per_kg,Tamil Nadu
2023-03-11,Potato,Chennai,25.73,per_kg,Tamil Nadu
2023-03-12,Potato,Chennai,25.78,per_kg,Tamil Nadu
2023-03-13,Potato,Chennai,26.95,per_kg,Tamil Nadu
2023-03-14,Potato,Chennai,24.99,per_kg,Tamil Nadu
2023-03-15,Potato,Chennai,26.03,per_kg,Tamil Nadu
2023-03-16,Potato,Chennai,24.8,per_kg,Tamil Nadu
2023-03-17,Potato,Chennai,28.51,per_kg,Tamil Nadu
2023-03-18,Potato,Chennai,25.44,per_kg,Tamil Nadu
2023-03-19,Potato,Chennai,25.9,per_kg,Tamil Nadu
2023-03-20,Potato,Chennai,27.45,per_kg,Tamil Nadu
2023-03-21,Potato,Chennai,26.5,per_kg,Tamil Nadu
2023-03-22,Potato,Chennai,26.1,per_kg,Tamil Nadu
2023-03-23,Potato,Chennai,28.04,per_kg,Tamil Nadu
2023-03-24,Potato,Chennai,28.31,per_kg,Tamil Nadu
2023-03-25,Potato,Chennai,26.68,per_kg,Tamil Nadu
2023-03-26,Potato,Chennai,24.99,per_kg,Tamil Nadu
2023-03-27,Potato,Chennai,25.61,per_kg,Tamil Nadu
2023-03-28,Potato,Chennai,26.02,per_kg,Tamil Nadu
2023-03-29,Potato,Chennai,27.55,per_kg,Tamil Nadu
2023-03-30,Potato,Chennai,25.16,per_kg,Tamil Nadu
2023-03-31,Potato,Chennai,27.83,per_kg,Tamil Nadu
2023-04-01,Potato,Chennai,24.45,per_kg,Tamil Nadu
2023-04-02,Potato,Chennai,26.98,per_kg,Tamil Nadu
2023-04-03,Potato,Chennai,26.09,per_kg,Tamil Nadu
2023-04-04,Potato,Chennai,29.0,per_kg,Tamil Nadu
2023-04-05,Potato,Chennai,28.82,per_kg,Tamil Nadu
2023-04-06,Potato,Chennai,27.72,per_kg,Tamil Nadu
