date,commodity,market,price,unit,state
2023-01-01,Rice,Chennai,45.0,per_kg,Tamil Nadu
2023-01-01,Rice,Chennai,47.36,per_kg,Tamil Nadu
2023-01-02,Rice,Chennai,46.0,per_kg,Tamil Nadu
2023-01-02,Rice,Chennai,47.96,per_kg,Tamil Nadu
2023-01-03,Rice,Chennai,45.0,per_kg,Tamil Nadu
2023-01-03,Rice,Chennai,48.23,per_kg,Tamil Nadu
2023-01-04,Rice,Chennai,47.0,per_kg,Tamil Nadu
2023-01-04,Rice,Chennai,47.1,per_kg,Tamil Nadu
2023-01-05,Rice,Chennai,48.0,per_kg,Tamil Nadu
2023-01-05,Rice,Chennai,47.58,per_kg,Tamil Nadu
2023-01-06,Rice,Chennai,47.74,per_kg,Tamil Nadu
2023-01-07,Rice,Chennai,47.79,per_kg,Tamil Nadu
2023-01-08,Rice,Chennai,47.89,per_kg,Tamil Nadu
2023-01-09,Rice,Chennai,47.55,per_kg,Tamil Nadu
2023-01-10,Rice,Chennai,47.59,per_kg,Tamil Nadu
2023-01-11,Rice,Chennai,47.93,per_kg,Tamil Nadu
2023-01-12,Rice,Chennai,46.59,per_kg,Tamil Nadu
2023-01-13,Rice,Chennai,48.35,per_kg,Tamil Nadu
2023-01-14,Rice,Chennai,47.2,per_kg,Tamil Nadu
2023-01-15,Rice,Chennai,47.16,per_kg,Tamil Nadu
2023-01-16,Rice,Chennai,47.86,per_kg,Tamil Nadu
2023-01-17,Rice,Chennai,48.17,per_kg,Tamil Nadu
2023-01-18,Rice,Chennai,47.25,per_kg,Tamil Nadu
2023-01-19,Rice,Chennai,48.13,per_kg,Tamil Nadu
2023-01-20,Rice,Chennai,47.57,per_kg,Tamil Nadu
2023-01-21,Rice,Chennai,48.32,per_kg,Tamil Nadu
2023-01-22,Rice,Chennai,47.47,per_kg,Tamil Nadu
2023-01-23,Rice,Chennai,48.54,per_kg,Tamil Nadu
2023-01-24,Rice,Chennai,46.09,per_kg,Tamil Nadu
2023-01-25,Rice,Chennai,48.08,per_kg,Tamil Nadu
2023-01-26,Rice,Chennai,49.4,per_kg,Tamil Nadu
2023-01-27,Rice,Chennai,47.74,per_kg,Tamil Nadu
2023-01-28,Rice,Chennai,48.96,per_kg,Tamil Nadu
2023-01-29,Rice,Chennai,48.05,per_kg,Tamil Nadu
2023-01-30,Rice,Chennai,48.65,per_kg,Tamil Nadu
2023-01-31,Rice,Chennai,47.98,per_kg,Tamil Nadu
2023-02-01,Rice,Chennai,46.0,per_kg,Tamil Nadu
2023-02-01,Rice,Chennai,48.54,per_kg,Tamil Nadu
2023-02-02,Rice,Chennai,47.0,per_kg,Tamil Nadu
2023-02-02,Rice,Chennai,49.32,per_kg,Tamil Nadu
2023-02-03,Rice,Chennai,48.0,per_kg,Tamil Nadu
2023-02-03,Rice,Chennai,49.31,per_kg,Tamil Nadu
2023-02-04,Rice,Chennai,46.0,per_kg,Tamil Nadu
2023-02-04,Rice,Chennai,48.16,per_kg,Tamil Nadu
2023-02-05,Rice,Chennai,49.0,per_kg,Tamil Nadu
2023-02-05,Rice,Chennai,49.22,per_kg,Tamil Nadu
2023-02-06,Rice,Chennai,48.92,per_kg,Tamil Nadu
2023-02-07,Rice,Chennai,49.52,per_kg,Tamil Nadu
2023-02-08,Rice,Chennai,49.04,per_kg,Tamil Nadu
2023-02-09,Rice,Chennai,47.64,per_kg,Tamil Nadu
2023-02-10,Rice,Chennai,48.06,per_kg,Tamil Nadu
2023-02-11,Rice,Chennai,49.91,per_kg,Tamil Nadu
