date,commodity,market,price,unit,state
2023-01-01,Sugarcane,Chennai,37.84,per_kg,Tamil Nadu
2023-01-02,Sugarcane,Chennai,37.2,per_kg,Tamil Nadu
2023-01-03,Sugarcane,Chennai,38.51,per_kg,Tamil Nadu
2023-01-04,Sugarcane,Chennai,37.04,per_kg,Tamil Nadu
2023-01-05,Sugarcane,Chennai,36.71,per_kg,Tamil Nadu
2023-01-06,Sugarcane,Chennai,37.93,per_kg,Tamil Nadu
2023-01-07,Sugarcane,Chennai,39.8,per_kg,Tamil Nadu
2023-01-08,Sugarcane,Chennai,39.81,per_kg,Tamil Nadu
2023-01-09,Sugarcane,Chennai,38.25,per_kg,Tamil Nadu
2023-01-10,Sugarcane,Chennai,38.46,per_kg,Tamil Nadu
2023-01-11,Sugarcane,Chennai,38.94,per_kg,Tamil Nadu
2023-01-12,Sugarcane,Chennai,37.83,per_kg,Tamil Nadu
2023-01-13,Sugarcane,Chennai,38.5,per_kg,Tamil Nadu
2023-01-14,Sugarcane,Chennai,39.32,per_kg,Tamil Nadu
2023-01-15,Sugarcane,Chennai,39.5,per_kg,Tamil Nadu
2023-01-16,Sugarcane,Chennai,38.17,per_kg,Tamil Nadu
2023-01-17,Sugarcane,Chennai,38.25,per_kg,Tamil Nadu
2023-01-18,Sugarcane,Chennai,39.28,per_kg,Tamil Nadu
2023-01-19,Sugarcane,Chennai,40.09,per_kg,Tamil Nadu
2023-01-20,Sugarcane,Chennai,38.92,per_kg,Tamil Nadu
2023-01-21,Sugarcane,Chennai,40.24,per_kg,Tamil Nadu
2023-01-22,Sugarcane,Chennai,37.5,per_kg,Tamil Nadu
2023-01-23,Sugarcane,Chennai,38.79,per_kg,Tamil Nadu
2023-01-24,Sugarcane,Chennai,39.83,per_kg,Tamil Nadu
2023-01-25,Sugarcane,Chennai,39.61,per_kg,Tamil Nadu
2023-01-26,Sugarcane,Chennai,39.65,per_kg,Tamil Nadu
2023-01-27,Sugarcane,Chennai,39.16,per_kg,Tamil Nadu
2023-01-28,Sugarcane,Chennai,40.33,per_kg,Tamil Nadu
2023-01-29,Sugarcane,Chennai,40.45,per_kg,Tamil Nadu
2023-01-30,Sugarcane,Chennai,38.87,per_kg,Tamil Nadu
2023-01-31,Sugarcane,Chennai,39.69,per_kg,Tamil Nadu
2023-02-01,Sugarcane,Chennai,38.58,per_kg,Tamil Nadu
2023-02-02,Sugarcane,Chennai,39.67,per_kg,Tamil Nadu
2023-02-03,Sugarcane,Chennai,40.08,per_kg,Tamil Nadu
2023-02-04,Sugarcane,Chennai,39.31,per_kg,Tamil Nadu
2023-02-05,Sugarcane,Chennai,39.28,per_kg,Tamil Nadu
2023-02-06,Sugarcane,Chennai,39.6,per_kg,Tamil Nadu
2023-02-07,Sugarcane,Chennai,38.81,per_kg,Tamil Nadu
2023-02-08,Sugarcane,Chennai,41.12,per_kg,Tamil Nadu
2023-02-09,Sugarcane,Chennai,41.65,per_kg,Tamil Nadu
2023-02-10,Sugarcane,Chennai,40.95,per_kg,Tamil Nadu
2023-02-11,Sugarcane,Chennai,40.3,per_kg,Tamil Nadu
2023-02-12,Sugarcane,Chennai,41.13,per_kg,Tamil Nadu
2023-02-13,Sugarcane,Chennai,43.26,per_kg,Tamil Nadu
2023-02-14,Sugarcane,Chennai,41.33,per_kg,Tamil Nadu
2023-02-15,Sugarcane,Chennai,41.42,per_kg,Tamil Nadu
2023-02-16,Sugarcane,Chennai,40.59,per_kg,Tamil Nadu
2023-02-17,Sugarcane,Chennai,40.08,per_kg,Tamil Nadu
2023-02-18,Sugarcane,Chennai,39.63,per_kg,Tamil Nadu
2023-02-19,Sugarcane,Chennai,38.54,per_kg,Tamil Nadu
2023-02-20,Sugarcane,Chennai,40.44,per_kg,Tamil Nadu
2023-02-21,Sugarcane,Chennai,39.02,per_kg,Tamil Nadu
2023-02-22,Sugarcane,Chennai,41.59,per_kg,Tamil Nadu
2023-02-23,Sugarcane,Chennai,41.68,per_kg,Tamil Nadu
2023-02-24,Sugarcane,Chennai,41.31,per_kg,Tamil Nadu
2023-02-25,Sugarcane,Chennai,41.6,per_kg,Tamil Nadu
2023-02-26,Sugarcane,Chennai,41.48,per_kg,Tamil Nadu
2023-02-27,Sugarcane,Chennai,40.95,per_kg,Tamil Nadu
2023-02-28,Sugarcane,Chennai,39.78,per_kg,Tamil Nadu
2023-03-01,Sugarcane,Chennai,43.48,per_kg,Tamil Nadu
2023-03-02,Sugarcane,Chennai,41.3,per_kg,Tamil Nadu
2023-03-03,Sugarcane,Chennai,40.24,per_kg,Tamil Nadu
2023-03-04,Sugarcane,Chennai,40.93,per_kg,Tamil Nadu
2023-03-05,Sugarcane,Chennai,42.14,per_kg,Tamil Nadu
2023-03-06,Sugarcane,Chennai,42.87,per_kg,Tamil Nadu
2023-03-07,Sugarcane,Chennai,41.65,per_kg,Tamil Nadu
2023-03-08,Sugarcane,Chennai,40.52,per_kg,Tamil Nadu
2023-03-09,Sugarcane,Chennai,40.87,per_kg,Tamil Nadu
2023-03-10,Sugarcane,Chennai,42.41,per_kg,Tamil Nadu
2023-03-11,Sugarcane,Chennai,42.53,per_kg,Tamil Nadu
2023-03-12,Sugarcane,Chennai,40.11,per_kg,Tamil Nadu
2023-03-13,Sugarcane,Chennai,42.3,per_kg,Tamil Nadu
2023-03-14,Sugarcane,Chennai,42.19,per_kg,Tamil Nadu
2023-03-15,Sugarcane,Chennai,42.73,per_kg,Tamil Nadu
2023-03-16,Sugarcane,Chennai,42.58,per_kg,Tamil Nadu
2023-03-17,Sugarcane,Chennai,40.44,per_kg,Tamil Nadu
2023-03-18,Sugarcane,Chennai,42.28,per_kg,Tamil Nadu
2023-03-19,Sugarcane,Chennai,41.12,per_kg,Tamil Nadu
2023-03-20,Sugarcane,Chennai,43.33,per_kg,Tamil Nadu
2023-03-21,Sugarcane,Chennai,41.7,per_kg,Tamil Nadu
2023-03-22,Sugarcane,Chennai,43.42,per_kg,Tamil Nadu
2023-03-23,Sugarcane,Chennai,41.62,per_kg,Tamil Nadu
2023-03-24,Sugarcane,Chennai,42.46,per_kg,Tamil Nadu
2023-03-25,Sugarcane,Chennai,41.4,per_kg,Tamil Nadu
2023-03-26,Sugarcane,Chennai,41.76,per_kg,Tamil Nadu
2023-03-27,Sugarcane,Chennai,40.69,per_kg,Tamil Nadu
2023-03-28,Sugarcane,Chennai,42.17,per_kg,Tamil Nadu
2023-03-29,Sugarcane,Chennai,42.04,per_kg,Tamil Nadu
2023-03-30,Sugarcane,Chennai,41.29,per_kg,Tamil Nadu
2023-03-31,Sugarcane,Chennai,41.89,per_kg,Tamil Nadu
2023-04-01,Sugarcane,Chennai,41.65,per_kg,Tamil Nadu
2023-04-02,Sugarcane,Chennai,42.72,per_kg,Tamil Nadu
2023-04-03,Sugarcane,Chennai,41.48,per_kg,Tamil Nadu
2023-04-04,Sugarcane,Chennai,42.48,per_kg,Tamil Nadu
2023-04-05,Sugarcane,Chennai,42.88,per_kg,Tamil Nadu
2023-04-06,Sugarcane,Chennai,41.38,per_kg,Tamil Nadu
2023-04-07,Sugarcane,Chennai,39.38,per_kg,Tamil Nadu
2023-04-08,Sugarcane,Chennai,42.02,per_kg,Tamil Nadu
2023-04-09,Sugarcane,Chennai,43.82,per_kg,Tamil Nadu
2023-04-10,Sugarcane,Chennai,42.62,per_kg,Tamil Nadu
2023-04-11,Sugarcane,Chennai,41.02,per_kg,Tamil Nadu
2023-04-12,Sugarcane,Chennai,44.12,per_kg,Tamil Nadu
2023-04-13,Sugarcane,Chennai,41.28,per_kg,Tamil Nadu
2023-04-14,Sugarcane,Chennai,42.5,per_kg,Tamil Nadu
2023-04-15,Sugarcane,Chennai,41.19,per_kg,Tamil Nadu
2023-04-16,Sugarcane,Chennai,39.7,per_kg,Tamil Nadu
2023-04-17,Sugarcane,Chennai,42.2,per_kg,Tamil Nadu
2023-04-18,Sugarcane,Chennai,42.77,per_kg,Tamil Nadu
2023-04-19,Sugarcane,Chennai,42.23,per_kg,Tamil Nadu
2023-04-20,Sugarcane,Chennai,41.98,per_kg,Tamil Nadu
2023-04-21,Sugarcane,Chennai,43.05,per_kg,Tamil Nadu
2023-04-22,Sugarcane,Chennai,41.96,per_kg,Tamil Nadu
2023-04-23,Sugarcane,Chennai,41.41,per_kg,Tamil Nadu
2023-04-24,Sugarcane,Chennai,42.11,per_kg,Tamil Nadu
2023-04-25,Sugarcane,Chennai,41.84,per_kg,Tamil Nadu
2023-04-26,Sugarcane,Chennai,42.86,per_kg,Tamil Nadu
2023-04-27,Sugarcane,Chennai,41.73,per_kg,Tamil Nadu
2023-04-28,Sugarcane,Chennai,41.85,per_kg,Tamil Nadu
2023-04-29,Sugarcane,Chennai,41.16,per_kg,Tamil Nadu
2023-04-30,Sugarcane,Chennai,41.84,per_kg,Tamil Nadu
2023-05-01,Sugarcane,Chennai,40.04,per_kg,Tamil Nadu
2023-05-02,Sugarcane,Chennai,41.25,per_kg,Tamil Nadu
2023-05-03,Sugarcane,Chennai,42.62,per_kg,Tamil Nadu
2023-05-04,Sugarcane,Chennai,40.43,per_kg,Tamil Nadu
2023-05-05,Sugarcane,Chennai,40.95,per_kg,Tamil Nadu
2023-05-06,Sugarcane,Chennai,42.34,per_kg,Tamil Nadu
2023-05-07,Sugarcane,Chennai,41.1,per_kg,Tamil Nadu
2023-05-08,Sugarcane,Chennai,42.76,per_kg,Tamil Nadu
2023-05-09,Sugarcane,Chennai,43.62,per_kg,Tamil Nadu
2023-05-10,Sugarcane,Chennai,40.71,per_kg,Tamil Nadu
2023-05-11,Sugarcane,Chennai,41.88,per_kg,Tamil Nadu
2023-05-12,Sugarcane,Chennai,41.13,per_kg,Tamil Nadu
2023-05-13,Sugarcane,Chennai,41.92,per_kg,Tamil Nadu
2023-05-14,Sugarcane,Chennai,40.48,per_kg,Tamil Nadu
2023-05-15,Sugarcane,Chennai,41.13,per_kg,Tamil Nadu
2023-05-16,Sugarcane,Chennai,41.01,per_kg,Tamil Nadu
2023-05-17,Sugarcane,Chennai,40.98,per_kg,Tamil Nadu
2023-05-18,Sugarcane,Chennai,40.8,per_kg,Tamil Nadu
2023-05-19,Sugarcane,Chennai,40.56,per_kg,Tamil Nadu
2023-05-20,Sugarcane,Chennai,40.97,per_kg,Tamil Nadu
2023-05-21,Sugarcane,Chennai,41.79,per_kg,Tamil Nadu
2023-05-22,Sugarcane,Chennai,42.16,per_kg,Tamil Nadu
2023-05-23,Sugarcane,Chennai,41.77,per_kg,Tamil Nadu
2023-05-24,Sugarcane,Chennai,40.61,per_kg,Tamil Nadu
2023-05-25,Sugarcane,Chennai,41.32,per_kg,Tamil Nadu
2023-05-26,Sugarcane,Chennai,41.05,per_kg,Tamil Nadu
2023-05-27,Sugarcane,Chennai,39.77,per_kg,Tamil Nadu
2023-05-28,Sugarcane,Chennai,41.98,per_kg,Tamil Nadu
2023-05-29,Sugarcane,Chennai,42.04,per_kg,Tamil Nadu
2023-05-30,Sugarcane,Chennai,40.13,per_kg,Tamil Nadu
2023-05-31,Sugarcane,Chennai,40.78,per_kg,Tamil Nadu
2023-06-01,Sugarcane,Chennai,40.11,per_kg,Tamil Nadu
2023-06-02,Sugarcane,Chennai,42.35,per_kg,Tamil Nadu
2023-06-03,Sugarcane,Chennai,41.2,per_kg,Tamil Nadu
2023-06-04,Sugarcane,Chennai,41.07,per_kg,Tamil Nadu
2023-06-05,Sugarcane,Chennai,41.87,per_kg,Tamil Nadu
2023-06-06,Sugarcane,Chennai,40.6,per_kg,Tamil Nadu
2023-06-07,Sugarcane,Chennai,40.78,per_kg,Tamil Nadu
2023-06-08,Sugarcane,Chennai,41.81,per_kg,Tamil Nadu
2023-06-09,Sugarcane,Chennai,41.18,per_kg,Tamil Nadu
2023-06-10,Sugarcane,Chennai,39.93,per_kg,Tamil Nadu
2023-06-11,Sugarcane,Chennai,40.1,per_kg,Tamil Nadu
2023-06-12,Sugarcane,Chennai,39.93,per_kg,Tamil Nadu
2023-06-13,Sugarcane,Chennai,41.54,per_kg,Tamil Nadu
2023-06-14,Sugarcane,Chennai,41.34,per_kg,Tamil Nadu
2023-06-15,Sugarcane,Chennai,40.37,per_kg,Tamil Nadu
2023-06-16,Sugarcane,Chennai,40.66,per_kg,Tamil Nadu
2023-06-17,Sugarcane,Chennai,39.92,per_kg,Tamil Nadu
2023-06-18,Sugarcane,Chennai,41.2,per_kg,Tamil Nadu
2023-06-19,Sugarcane,Chennai,41.5,per_kg,Tamil Nadu
2023-06-20,Sugarcane,Chennai,41.55,per_kg,Tamil Nadu
2023-06-21,Sugarcane,Chennai,39.52,per_kg,Tamil Nadu
2023-06-22,Sugarcane,Chennai,41.65,per_kg,Tamil Nadu
2023-06-23,Sugarcane,Chennai,39.09,per_kg,Tamil Nadu
2023-06-24,Sugarcane,Chennai,39.7,per_kg,Tamil Nadu
2023-06-25,Sugarcane,Chennai,38.98,per_kg,Tamil Nadu
2023-06-26,Sugarcane,Chennai,39.69,per_kg,Tamil Nadu
2023-06-27,Sugarcane,Chennai,39.19,per_kg,Tamil Nadu
2023-06-28,Sugarcane,Chennai,40.54,per_kg,Tamil Nadu
2023-06-29,Sugarcane,Chennai,39.9,per_kg,Tamil Nadu
2023-06-30,Sugarcane,Chennai,40.34,per_kg,Tamil Nadu
2023-07-01,Sugarcane,Chennai,39.81,per_kg,Tamil Nadu
2023-07-02,Sugarcane,Chennai,39.06,per_kg,Tamil Nadu
2023-07-03,Sugarcane,Chennai,40.32,per_kg,Tamil Nadu
2023-07-04,Sugarcane,Chennai,39.27,per_kg,Tamil Nadu
2023-07-05,Sugarcane,Chennai,39.04,per_kg,Tamil Nadu
2023-07-06,Sugarcane,Chennai,38.85,per_kg,Tamil Nadu
2023-07-07,Sugarcane,Chennai,39.94,per_kg,Tamil Nadu
2023-07-08,Sugarcane,Chennai,39.72,per_kg,Tamil Nadu
2023-07-09,Sugarcane,Chennai,39.01,per_kg,Tamil Nadu
2023-07-10,Sugarcane,Chennai,39.39,per_kg,Tamil Nadu
2023-07-11,Sugarcane,Chennai,38.61,per_kg,Tamil Nadu
2023-07-12,Sugarcane,Chennai,38.49,per_kg,Tamil Nadu
2023-07-13,Sugarcane,Chennai,39.98,per_kg,Tamil Nadu
2023-07-14,Sugarcane,Chennai,37.98,per_kg,Tamil Nadu
2023-07-15,Sugarcane,Chennai,39.1,per_kg,Tamil Nadu
2023-07-16,Sugarcane,Chennai,39.44,per_kg,Tamil Nadu
2023-07-17,Sugarcane,Chennai,38.89,per_kg,Tamil Nadu
2023-07-18,Sugarcane,Chennai,40.37,per_kg,Tamil Nadu
2023-07-19,Sugarcane,Chennai,39.27,per_kg,Tamil Nadu
2023-07-20,Sugarcane,Chennai,39.49,per_kg,Tamil Nadu
2023-07-21,Sugarcane,Chennai,38.63,per_kg,Tamil Nadu
2023-07-22,Sugarcane,Chennai,38.44,per_kg,Tamil Nadu
2023-07-23,Sugarcane,Chennai,38.58,per_kg,Tamil Nadu
2023-07-24,Sugarcane,Chennai,39.74,per_kg,Tamil Nadu
2023-07-25,Sugarcane,Chennai,39.26,per_kg,Tamil Nadu
2023-07-26,Sugarcane,Chennai,38.39,per_kg,Tamil Nadu
2023-07-27,Sugarcane,Chennai,39.87,per_kg,Tamil Nadu
2023-07-28,Sugarcane,Chennai,38.03,per_kg,Tamil Nadu
2023-07-29,Sugarcane,Chennai,40.52,per_kg,Tamil Nadu
2023-07-30,Sugarcane,Chennai,39.07,per_kg,Tamil Nadu
2023-07-31,Sugarcane,Chennai,37.67,per_kg,Tamil Nadu
2023-08-01,Sugarcane,Chennai,38.66,per_kg,Tamil Nadu
2023-08-02,Sugarcane,Chennai,39.21,per_kg,Tamil Nadu
2023-08-03,Sugarcane,Chennai,38.92,per_kg,Tamil Nadu
2023-08-04,Sugarcane,Chennai,38.37,per_kg,Tamil Nadu
2023-08-05,Sugarcane,Chennai,37.62,per_kg,Tamil Nadu
2023-08-06,Sugarcane,Chennai,37.1,per_kg,Tamil Nadu
2023-08-07,Sugarcane,Chennai,38.17,per_kg,Tamil Nadu
2023-08-08,Sugarcane,Chennai,39.3,per_kg,Tamil Nadu
2023-08-09,Sugarcane,Chennai,38.82,per_kg,Tamil Nadu
2023-08-10,Sugarcane,Chennai,38.21,per_kg,Tamil Nadu
2023-08-11,Sugarcane,Chennai,38.08,per_kg,Tamil Nadu
2023-08-12,Sugarcane,Chennai,38.71,per_kg,Tamil Nadu
2023-08-13,Sugarcane,Chennai,38.05,per_kg,Tamil Nadu
2023-08-14,Sugarcane,Chennai,37.66,per_kg,Tamil Nadu
2023-08-15,Sugarcane,Chennai,37.56,per_kg,Tamil Nadu
2023-08-16,Sugarcane,Chennai,37.86,per_kg,Tamil Nadu
2023-08-17,Sugarcane,Chennai,37.9,per_kg,Tamil Nadu
2023-08-18,Sugarcane,Chennai,38.93,per_kg,Tamil Nadu
2023-08-19,Sugarcane,Chennai,37.81,per_kg,Tamil Nadu
2023-08-20,Sugarcane,Chennai,36.81,per_kg,Tamil Nadu
2023-08-21,Sugarcane,Chennai,38.03,per_kg,Tamil Nadu
2023-08-22,Sugarcane,Chennai,38.78,per_kg,Tamil Nadu
2023-08-23,Sugarcane,Chennai,39.57,per_kg,Tamil Nadu
2023-08-24,Sugarcane,Chennai,39.08,per_kg,Tamil Nadu
2023-08-25,Sugarcane,Chennai,38.5,per_kg,Tamil Nadu
2023-08-26,Sugarcane,Chennai,37.74,per_kg,Tamil Nadu
2023-08-27,Sugarcane,Chennai,39.17,per_kg,Tamil Nadu
2023-08-28,Sugarcane,Chennai,39.41,per_kg,Tamil Nadu
2023-08-29,Sugarcane,Chennai,37.16,per_kg,Tamil Nadu
2023-08-30,Sugarcane,Chennai,36.86,per_kg,Tamil Nadu
2023-08-31,Sugarcane,Chennai,36.72,per_kg,Tamil Nadu
2023-09-01,Sugarcane,Chennai,37.9,per_kg,Tamil Nadu
2023-09-02,Sugarcane,Chennai,38.35,per_kg,Tamil Nadu
2023-09-03,Sugarcane,Chennai,38.13,per_kg,Tamil Nadu
2023-09-04,Sugarcane,Chennai,39.15,per_kg,Tamil Nadu
2023-09-05,Sugarcane,Chennai,36.81,per_kg,Tamil Nadu
2023-09-06,Sugarcane,Chennai,36.96,per_kg,Tamil Nadu
2023-09-07,Sugarcane,Chennai,35.46,per_kg,Tamil Nadu
2023-09-08,Sugarcane,Chennai,37.32,per_kg,Tamil Nadu
2023-09-09,Sugarcane,Chennai,37.69,per_kg,Tamil Nadu
2023-09-10,Sugarcane,Chennai,37.49,per_kg,Tamil Nadu
2023-09-11,Sugarcane,Chennai,37.29,per_kg,Tamil Nadu
2023-09-12,Sugarcane,Chennai,37.97,per_kg,Tamil Nadu
2023-09-13,Sugarcane,Chennai,37.58,per_kg,Tamil Nadu
2023-09-14,Sugarcane,Chennai,38.44,per_kg,Tamil Nadu
2023-09-15,Sugarcane,Chennai,39.09,per_kg,Tamil Nadu
2023-09-16,Sugarcane,Chennai,36.63,per_kg,Tamil Nadu
2023-09-17,Sugarcane,Chennai,38.77,per_kg,Tamil Nadu
2023-09-18,Sugarcane,Chennai,37.39,per_kg,Tamil Nadu
2023-09-19,Sugarcane,Chennai,36.83,per_kg,Tamil Nadu
2023-09-20,Sugarcane,Chennai,38.92,per_kg,Tamil Nadu
2023-09-21,Sugarcane,Chennai,37.41,per_kg,Tamil Nadu
2023-09-22,Sugarcane,Chennai,38.81,per_kg,Tamil Nadu
2023-09-23,Sugarcane,Chennai,37.03,per_kg,Tamil Nadu
2023-09-24,Sugarcane,Chennai,37.27,per_kg,Tamil Nadu
2023-09-25,Sugarcane,Chennai,38.26,per_kg,Tamil Nadu
2023-09-26,Sugarcane,Chennai,39.06,per_kg,Tamil Nadu
2023-09-27,Sugarcane,Chennai,38.8,per_kg,Tamil Nadu
2023-09-28,Sugarcane,Chennai,37.8,per_kg,Tamil Nadu
2023-09-29,Sugarcane,Chennai,37.6,per_kg,Tamil Nadu
2023-09-30,Sugarcane,Chennai,36.6,per_kg,Tamil Nadu
2023-10-01,Sugarcane,Chennai,38.7,per_kg,Tamil Nadu
2023-10-02,Sugarcane,Chennai,38.24,per_kg,Tamil Nadu
2023-10-03,Sugarcane,Chennai,35.51,per_kg,Tamil Nadu
2023-10-04,Sugarcane,Chennai,37.91,per_kg,Tamil Nadu
2023-10-05,Sugarcane,Chennai,37.52,per_kg,Tamil Nadu
2023-10-06,Sugarcane,Chennai,37.32,per_kg,Tamil Nadu
2023-10-07,Sugarcane,Chennai,37.15,per_kg,Tamil Nadu
2023-10-08,Sugarcane,Chennai,38.1,per_kg,Tamil Nadu
2023-10-09,Sugarcane,Chennai,38.78,per_kg,Tamil Nadu
2023-10-10,Sugarcane,Chennai,38.37,per_kg,Tamil Nadu
2023-10-11,Sugarcane,Chennai,38.82,per_kg,Tamil Nadu
2023-10-12,Sugarcane,Chennai,37.53,per_kg,Tamil Nadu
2023-10-13,Sugarcane,Chennai,38.68,per_kg,Tamil Nadu
2023-10-14,Sugarcane,Chennai,37.61,per_kg,Tamil Nadu
2023-10-15,Sugarcane,Chennai,37.55,per_kg,Tamil Nadu
2023-10-16,Sugarcane,Chennai,38.68,per_kg,Tamil Nadu
2023-10-17,Sugarcane,Chennai,37.3,per_kg,Tamil Nadu
2023-10-18,Sugarcane,Chennai,36.34,per_kg,Tamil Nadu
2023-10-19,Sugarcane,Chennai,37.36,per_kg,Tamil Nadu
2023-10-20,Sugarcane,Chennai,37.61,per_kg,Tamil Nadu
2023-10-21,Sugarcane,Chennai,38.81,per_kg,Tamil Nadu
2023-10-22,Sugarcane,Chennai,38.98,per_kg,Tamil Nadu
2023-10-23,Sugarcane,Chennai,38.71,per_kg,Tamil Nadu
2023-10-24,Sugarcane,Chennai,38.24,per_kg,Tamil Nadu
2023-10-25,Sugarcane,Chennai,39.02,per_kg,Tamil Nadu
2023-10-26,Sugarcane,Chennai,39.05,per_kg,Tamil Nadu
2023-10-27,Sugarcane,Chennai,37.2,per_kg,Tamil Nadu
2023-10-28,Sugarcane,Chennai,39.28,per_kg,Tamil Nadu
2023-10-29,Sugarcane,Chennai,38.31,per_kg,Tamil Nadu
2023-10-30,Sugarcane,Chennai,37.86,per_kg,Tamil Nadu
2023-10-31,Sugarcane,Chennai,38.88,per_kg,Tamil Nadu
2023-11-01,Sugarcane,Chennai,38.34,per_kg,Tamil Nadu
2023-11-02,Sugarcane,Chennai,37.46,per_kg,Tamil Nadu
2023-11-03,Sugarcane,Chennai,37.46,per_kg,Tamil Nadu
2023-11-04,Sugarcane,Chennai,38.77,per_kg,Tamil Nadu
2023-11-05,Sugarcane,Chennai,38.55,per_kg,Tamil Nadu
2023-11-06,Sugarcane,Chennai,39.05,per_kg,Tamil Nadu
2023-11-07,Sugarcane,Chennai,38.56,per_kg,Tamil Nadu
2023-11-08,Sugarcane,Chennai,38.96,per_kg,Tamil Nadu
2023-11-09,Sugarcane,Chennai,37.63,per_kg,Tamil Nadu
2023-11-10,Sugarcane,Chennai,38.47,per_kg,Tamil Nadu
2023-11-11,Sugarcane,Chennai,37.81,per_kg,Tamil Nadu
2023-11-12,Sugarcane,Chennai,38.83,per_kg,Tamil Nadu
2023-11-13,Sugarcane,Chennai,36.61,per_kg,Tamil Nadu
2023-11-14,Sugarcane,Chennai,39.45,per_kg,Tamil Nadu
2023-11-15,Sugarcane,Chennai,39.09,per_kg,Tamil Nadu
2023-11-16,Sugarcane,Chennai,39.48,per_kg,Tamil Nadu
2023-11-17,Sugarcane,Chennai,38.08,per_kg,Tamil Nadu
2023-11-18,Sugarcane,Chennai,39.8,per_kg,Tamil Nadu
2023-11-19,Sugarcane,Chennai,40.55,per_kg,Tamil Nadu
2023-11-20,Sugarcane,Chennai,39.18,per_kg,Tamil Nadu
2023-11-21,Sugarcane,Chennai,40.15,per_kg,Tamil Nadu
2023-11-22,Sugarcane,Chennai,41.3,per_kg,Tamil Nadu
2023-11-23,Sugarcane,Chennai,39.98,per_kg,Tamil Nadu
2023-11-24,Sugarcane,Chennai,41.33,per_kg,Tamil Nadu
2023-11-25,Sugarcane,Chennai,39.89,per_kg,Tamil Nadu
2023-11-26,Sugarcane,Chennai,41.3,per_kg,Tamil Nadu
2023-11-27,Sugarcane,Chennai,39.88,per_kg,Tamil Nadu
2023-11-28,Sugarcane,Chennai,39.93,per_kg,Tamil Nadu
2023-11-29,Sugarcane,Chennai,37.87,per_kg,Tamil Nadu
2023-11-30,Sugarcane,Chennai,39.68,per_kg,Tamil Nadu
2023-12-01,Sugarcane,Chennai,39.78,per_kg,Tamil Nadu
2023-12-02,Sugarcane,Chennai,40.39,per_kg,Tamil Nadu
2023-12-03,Sugarcane,Chennai,41.28,per_kg,Tamil Nadu
2023-12-04,Sugarcane,Chennai,40.28,per_kg,Tamil Nadu
2023-12-05,Sugarcane,Chennai,38.47,per_kg,Tamil Nadu
2023-12-06,Sugarcane,Chennai,40.85,per_kg,Tamil Nadu
2023-12-07,Sugarcane,Chennai,40.03,per_kg,Tamil Nadu
2023-12-08,Sugarcane,Chennai,40.35,per_kg,Tamil Nadu
2023-12-09,Sugarcane,Chennai,41.48,per_kg,Tamil Nadu
2023-12-10,Sugarcane,Chennai,38.5,per_kg,Tamil Nadu
2023-12-11,Sugarcane,Chennai,41.6,per_kg,Tamil Nadu
2023-12-12,Sugarcane,Chennai,39.24,per_kg,Tamil Nadu
2023-12-13,Sugarcane,Chennai,40.92,per_kg,Tamil Nadu
2023-12-14,Sugarcane,Chennai,40.56,per_kg,Tamil Nadu
2023-12-15,Sugarcane,Chennai,39.38,per_kg,Tamil Nadu
2023-12-16,Sugarcane,Chennai,42.17,per_kg,Tamil Nadu
2023-12-17,Sugarcane,Chennai,40.65,per_kg,Tamil Nadu
2023-12-18,Sugarcane,Chennai,41.13,per_kg,Tamil Nadu
2023-12-19,Sugarcane,Chennai,41.12,per_kg,Tamil Nadu
2023-12-20,Sugarcane,Chennai,41.09,per_kg,Tamil Nadu
2023-12-21,Sugarcane,Chennai,41.37,per_kg,Tamil Nadu
2023-12-22,Sugarcane,Chennai,39.81,per_kg,Tamil Nadu
2023-12-23,Sugarcane,Chennai,41.35,per_kg,Tamil Nadu
2023-12-24,Sugarcane,Chennai,42.01,per_kg,Tamil Nadu
2023-12-25,Sugarcane,Chennai,39.12,per_kg,Tamil Nadu
2023-12-26,Sugarcane,Chennai,40.81,per_kg,Tamil Nadu
2023-12-27,Sugarcane,Chennai,41.72,per_kg,Tamil Nadu
2023-12-28,Sugarcane,Chennai,41.91,per_kg,Tamil Nadu
2023-12-29,Sugarcane,Chennai,41.02,per_kg,Tamil Nadu
2023-12-30,Sugarcane,Chennai,43.06,per_kg,Tamil Nadu
