date,commodity,market,price,unit,state
2023-01-01,Tomato,Chennai,18.0,per_kg,Tamil Nadu
2023-01-01,Tomato,Chennai,27.01,per_kg,Tamil Nadu
2023-01-02,Tomato,Chennai,20.0,per_kg,Tamil Nadu
2023-01-02,Tomato,Chennai,24.9,per_kg,Tamil Nadu
2023-01-03,Tomato,Chennai,22.0,per_kg,Tamil Nadu
2023-01-03,Tomato,Chennai,26.99,per_kg,Tamil Nadu
2023-01-04,Tomato,Chennai,19.0,per_kg,Tamil Nadu
2023-01-04,Tomato,Chennai,28.99,per_kg,Tamil Nadu
2023-01-05,Tomato,Chennai,25.0,per_kg,Tamil Nadu
2023-01-05,Tomato,Chennai,27.1,per_kg,Tamil Nadu
2023-01-06,Tomato,Chennai,26.0,per_kg,Tamil Nadu
2023-01-07,Tomato,Chennai,22.73,per_kg,Tamil Nadu
2023-01-08,Tomato,Chennai,27.96,per_kg,Tamil Nadu
2023-01-09,Tomato,Chennai,30.03,per_kg,Tamil Nadu
2023-01-10,Tomato,Chennai,29.88,per_kg,Tamil Nadu
2023-01-11,Tomato,Chennai,32.35,per_kg,Tamil Nadu
2023-01-12,Tomato,Chennai,28.54,per_kg,Tamil Nadu
2023-01-13,Tomato,Chennai,30.44,per_kg,Tamil Nadu
2023-01-14,Tomato,Chennai,30.87,per_kg,Tamil Nadu
2023-01-15,Tomato,Chennai,32.96,per_kg,Tamil Nadu
2023-01-16,Tomato,Chennai,31.14,per_kg,Tamil Nadu
2023-01-17,Tomato,Chennai,29.93,per_kg,Tamil Nadu
2023-01-18,Tomato,Chennai,31.53,per_kg,Tamil Nadu
2023-01-19,Tomato,Chennai,31.99,per_kg,Tamil Nadu
2023-01-20,Tomato,Chennai,30.32,per_kg,Tamil Nadu
2023-01-21,Tomato,Chennai,29.31,per_kg,Tamil Nadu
2023-01-22,Tomato,Chennai,33.21,per_kg,Tamil Nadu
2023-01-23,Tomato,Chennai,28.28,per_kg,Tamil Nadu
2023-01-24,Tomato,Chennai,31.3,per_kg,Tamil Nadu
2023-01-25,Tomato,Chennai,34.37,per_kg,Tamil Nadu
2023-01-26,Tomato,Chennai,28.74,per_kg,Tamil Nadu
2023-01-27,Tomato,Chennai,32.7,per_kg,Tamil Nadu
2023-01-28,Tomato,Chennai,32.26,per_kg,Tamil Nadu
2023-01-29,Tomato,Chennai,33.75,per_kg,Tamil Nadu
2023-01-30,Tomato,Chennai,34.14,per_kg,Tamil Nadu
2023-01-31,Tomato,Chennai,33.36,per_kg,Tamil Nadu
2023-02-01,Tomato,Chennai,27.0,per_kg,Tamil Nadu
2023-02-01,Tomato,Chennai,31.99,per_kg,Tamil Nadu
2023-02-02,Tomato,Chennai,30.0,per_kg,Tamil Nadu
2023-02-02,Tomato,Chennai,33.87,per_kg,Tamil Nadu
2023-02-03,Tomato,Chennai,28.0,per_kg,Tamil Nadu
2023-02-03,Tomato,Chennai,33.94,per_kg,Tamil Nadu
2023-02-04,Tomato,Chennai,32.0,per_kg,Tamil Nadu
2023-02-04,Tomato,Chennai,27.78,per_kg,Tamil Nadu
2023-02-05,Tomato,Chennai,35.0,per_kg,Tamil Nadu
2023-02-05,Tomato,Chennai,37.39,per_kg,Tamil Nadu
2023-02-06,Tomato,Chennai,32.04,per_kg,Tamil Nadu
2023-02-07,Tomato,Chennai,31.44,per_kg,Tamil Nadu
2023-02-08,Tomato,Chennai,31.04,per_kg,Tamil Nadu
2023-02-09,Tomato,Chennai,30.16,per_kg,Tamil Nadu
2023-02-10,Tomato,Chennai,32.36,per_kg,Tamil Nadu
2023-02-11,Tomato,Chennai,30.83,per_kg,Tamil Nadu
2023-02-12,Tomato,Chennai,33.16,per_kg,Tamil Nadu
2023-02-13,Tomato,Chennai,31.63,per_kg,Tamil Nadu
2023-02-14,Tomato,Chennai,34.22,per_kg,Tamil Nadu
2023-02-15,Tomato,Chennai,35.49,per_kg,Tamil Nadu
2023-02-16,Tomato,Chennai,32.86,per_kg,Tamil Nadu
