date,commodity,market,price,unit,state
2023-01-01,Turmeric,Chennai,94.58,per_kg,Tamil Nadu
2023-01-02,Turmeric,Chennai,93.94,per_kg,Tamil Nadu
2023-01-03,Turmeric,Chennai,92.67,per_kg,Tamil Nadu
2023-01-04,Turmeric,Chennai,90.88,per_kg,Tamil Nadu
2023-01-05,Turmeric,Chennai,96.55,per_kg,Tamil Nadu
2023-01-06,Turmeric,Chennai,98.22,per_kg,Tamil Nadu
2023-01-07,Turmeric,Chennai,96.89,per_kg,Tamil Nadu
2023-01-08,Turmeric,Chennai,97.03,per_kg,Tamil Nadu
2023-01-09,Turmeric,Chennai,94.63,per_kg,Tamil Nadu
2023-01-10,Turmeric,Chennai,94.53,per_kg,Tamil Nadu
2023-01-11,Turmeric,Chennai,96.14,per_kg,Tamil Nadu
2023-01-12,Turmeric,Chennai,102.01,per_kg,Tamil Nadu
2023-01-13,Turmeric,Chennai,95.02,per_kg,Tamil Nadu
2023-01-14,Turmeric,Chennai,93.87,per_kg,Tamil Nadu
2023-01-15,Turmeric,Chennai,94.32,per_kg,Tamil Nadu
2023-01-16,Turmeric,Chennai,95.52,per_kg,Tamil Nadu
2023-01-17,Turmeric,Chennai,98.97,per_kg,Tamil Nadu
2023-01-18,Turmeric,Chennai,99.66,per_kg,Tamil Nadu
2023-01-19,Turmeric,Chennai,100.35,per_kg,Tamil Nadu
2023-01-20,Turmeric,Chennai,99.45,per_kg,Tamil Nadu
2023-01-21,Turmeric,Chennai,96.9,per_kg,Tamil Nadu
2023-01-22,Turmeric,Chennai,99.69,per_kg,Tamil Nadu
2023-01-23,Turmeric,Chennai,97.17,per_kg,Tamil Nadu
2023-01-24,Turmeric,Chennai,96.74,per_kg,Tamil Nadu
2023-01-25,Turmeric,Chennai,97.52,per_kg,Tamil Nadu
2023-01-26,Turmeric,Chennai,97.79,per_kg,Tamil Nadu
2023-01-27,Turmeric,Chennai,98.35,per_kg,Tamil Nadu
2023-01-28,Turmeric,Chennai,97.63,per_kg,Tamil Nadu
2023-01-29,Turmeric,Chennai,101.09,per_kg,Tamil Nadu
2023-01-30,Turmeric,Chennai,104.26,per_kg,Tamil Nadu
2023-01-31,Turmeric,Chennai,101.71,per_kg,Tamil Nadu
2023-02-01,Turmeric,Chennai,100.05,per_kg,Tamil Nadu
2023-02-02,Turmeric,Chennai,99.58,per_kg,Tamil Nadu
2023-02-03,Turmeric,Chennai,99.78,per_kg,Tamil Nadu
2023-02-04,Turmeric,Chennai,105.13,per_kg,Tamil Nadu
2023-02-05,Turmeric,Chennai,98.61,per_kg,Tamil Nadu
2023-02-06,Turmeric,Chennai,96.29,per_kg,Tamil Nadu
2023-02-07,Turmeric,Chennai,97.54,per_kg,Tamil Nadu
2023-02-08,Turmeric,Chennai,99.76,per_kg,Tamil Nadu
2023-02-09,Turmeric,Chennai,102.2,per_kg,Tamil Nadu
2023-02-10,Turmeric,Chennai,97.46,per_kg,Tamil Nadu
2023-02-11,Turmeric,Chennai,98.8,per_kg,Tamil Nadu
2023-02-12,Turmeric,Chennai,102.29,per_kg,Tamil Nadu
2023-02-13,Turmeric,Chennai,101.67,per_kg,Tamil Nadu
2023-02-14,Turmeric,Chennai,105.08,per_kg,Tamil Nadu
2023-02-15,Turmeric,Chennai,97.82,per_kg,Tamil Nadu
2023-02-16,Turmeric,Chennai,101.9,per_kg,Tamil Nadu
2023-02-17,Turmeric,Chennai,102.66,per_kg,Tamil Nadu
2023-02-18,Turmeric,Chennai,101.3,per_kg,Tamil Nadu
2023-02-19,Turmeric,Chennai,105.02,per_kg,Tamil Nadu
2023-02-20,Turmeric,Chennai,102.47,per_kg,Tamil Nadu
2023-02-21,Turmeric,Chennai,100.77,per_kg,Tamil Nadu
2023-02-22,Turmeric,Chennai,102.41,per_kg,Tamil Nadu
2023-02-23,Turmeric,Chennai,99.9,per_kg,Tamil Nadu
2023-02-24,Turmeric,Chennai,100.97,per_kg,Tamil Nadu
2023-02-25,Turmeric,Chennai,105.71,per_kg,Tamil Nadu
2023-02-26,Turmeric,Chennai,100.31,per_kg,Tamil Nadu
2023-02-27,Turmeric,Chennai,105.97,per_kg,Tamil Nadu
2023-02-28,Turmeric,Chennai,101.76,per_kg,Tamil Nadu
2023-03-01,Turmeric,Chennai,99.8,per_kg,Tamil Nadu
2023-03-02,Turmeric,Chennai,100.83,per_kg,Tamil Nadu
2023-03-03,Turmeric,Chennai,100.75,per_kg,Tamil Nadu
2023-03-04,Turmeric,Chennai,102.12,per_kg,Tamil Nadu
2023-03-05,Turmeric,Chennai,99.76,per_kg,Tamil Nadu
2023-03-06,Turmeric,Chennai,97.84,per_kg,Tamil Nadu
2023-03-07,Turmeric,Chennai,102.77,per_kg,Tamil Nadu
2023-03-08,Turmeric,Chennai,103.44,per_kg,Tamil Nadu
2023-03-09,Turmeric,Chennai,99.97,per_kg,Tamil Nadu
2023-03-10,Turmeric,Chennai,100.76,per_kg,Tamil Nadu
