date,commodity,market,price,unit,state
2023-01-01,Wheat,Chennai,28.33,per_kg,Tamil Nadu
2023-01-02,Wheat,Chennai,27.8,per_kg,Tamil Nadu
2023-01-03,Wheat,Chennai,28.16,per_kg,Tamil Nadu
2023-01-04,Wheat,Chennai,27.53,per_kg,Tamil Nadu
2023-01-05,Wheat,Chennai,27.32,per_kg,Tamil Nadu
2023-01-06,Wheat,Chennai,28.81,per_kg,Tamil Nadu
2023-01-07,Wheat,Chennai,28.26,per_kg,Tamil Nadu
2023-01-08,Wheat,Chennai,28.17,per_kg,Tamil Nadu
2023-01-09,Wheat,Chennai,28.07,per_kg,Tamil Nadu
2023-01-10,Wheat,Chennai,28.29,per_kg,Tamil Nadu
2023-01-11,Wheat,Chennai,27.33,per_kg,Tamil Nadu
2023-01-12,Wheat,Chennai,27.97,per_kg,Tamil Nadu
2023-01-13,Wheat,Chennai,27.93,per_kg,Tamil Nadu
2023-01-14,Wheat,Chennai,28.72,per_kg,Tamil Nadu
2023-01-15,Wheat,Chennai,28.83,per_kg,Tamil Nadu
2023-01-16,Wheat,Chennai,28.94,per_kg,Tamil Nadu
2023-01-17,Wheat,Chennai,28.74,per_kg,Tamil Nadu
2023-01-18,Wheat,Chennai,28.74,per_kg,Tamil Nadu
2023-01-19,Wheat,Chennai,28.86,per_kg,Tamil Nadu
2023-01-20,Wheat,Chennai,31.18,per_kg,Tamil Nadu
2023-01-21,Wheat,Chennai,30.3,per_kg,Tamil Nadu
2023-01-22,Wheat,Chennai,29.08,per_kg,Tamil Nadu
2023-01-23,Wheat,Chennai,29.29,per_kg,Tamil Nadu
2023-01-24,Wheat,Chennai,29.65,per_kg,Tamil Nadu
2023-01-25,Wheat,Chennai,28.92,per_kg,Tamil Nadu
2023-01-26,Wheat,Chennai,29.39,per_kg,Tamil Nadu
2023-01-27,Wheat,Chennai,29.07,per_kg,Tamil Nadu
2023-01-28,Wheat,Chennai,29.38,per_kg,Tamil Nadu
2023-01-29,Wheat,Chennai,29.57,per_kg,Tamil Nadu
2023-01-30,Wheat,Chennai,29.2,per_kg,Tamil Nadu
2023-01-31,Wheat,Chennai,29.31,per_kg,Tamil Nadu
2023-02-01,Wheat,Chennai,29.5,per_kg,Tamil Nadu
2023-02-02,Wheat,Chennai,29.91,per_kg,Tamil Nadu
2023-02-03,Wheat,Chennai,29.68,per_kg,Tamil Nadu
2023-02-04,Wheat,Chennai,30.77,per_kg,Tamil Nadu
