date,commodity,market,price,unit,state
2023-01-01,Coconut,Chennai,52,per_kg,Tamil Nadu
2023-01-02,Coconut,Chennai,54,per_kg,Tamil Nadu
2023-01-03,Coconut,Chennai,53,per_kg,Tamil Nadu
2023-01-04,Coconut,Chennai,55,per_kg,Tamil Nadu
2023-01-05,Coconut,Chennai,58,per_kg,Tamil Nadu
2023-01-06,Onion,Chennai,28,per_kg,Tamil Nadu
2023-01-07,Onion,Chennai,30,per_kg,Tamil Nadu
2023-01-08,Onion,Chennai,32,per_kg,Tamil Nadu
2023-01-09,Onion,Chennai,29,per_kg,Tamil Nadu
2023-01-10,Onion,Chennai,31,per_kg,Tamil Nadu
2023-01-01,Tomato,Chennai,18,per_kg,Tamil Nadu
2023-01-02,Tomato,Chennai,20,per_kg,Tamil Nadu
2023-01-03,Tomato,Chennai,22,per_kg,Tamil Nadu
2023-01-04,Tomato,Chennai,19,per_kg,Tamil Nadu
2023-01-05,Tomato,Chennai,25,per_kg,Tamil Nadu
2023-01-01,Rice,Chennai,45,per_kg,Tamil Nadu
2023-01-02,Rice,Chennai,46,per_kg,Tamil Nadu
2023-01-03,Rice,Chennai,45,per_kg,Tamil Nadu
2023-01-04,Rice,Chennai,47,per_kg,Tamil Nadu
2023-01-05,Rice,Chennai,48,per_kg,Tamil Nadu
2023-01-01,Banana,Chennai,32,per_kg,Tamil Nadu
2023-01-02,Banana,Chennai,33,per_kg,Tamil Nadu
2023-01-03,Banana,Chennai,31,per_kg,Tamil Nadu
2023-01-04,Banana,Chennai,34,per_kg,Tamil Nadu
2023-01-05,Banana,Chennai,35,per_kg,Tamil Nadu
2023-02-01,Coconut,Chennai,56,per_kg,Tamil Nadu
2023-02-02,Coconut,Chennai,58,per_kg,Tamil Nadu
2023-02-03,Coconut,Chennai,60,per_kg,Tamil Nadu
2023-02-04,Coconut,Chennai,57,per_kg,Tamil Nadu
2023-02-05,Coconut,Chennai,62,per_kg,Tamil Nadu
2023-02-01,Onion,Chennai,33,per_kg,Tamil Nadu
2023-02-02,Onion,Chennai,35,per_kg,Tamil Nadu
2023-02-03,Onion,Chennai,38,per_kg,Tamil Nadu
2023-02-04,Onion,Chennai,36,per_kg,Tamil Nadu
2023-02-05,Onion,Chennai,40,per_kg,Tamil Nadu
2023-02-01,Tomato,Chennai,27,per_kg,Tamil Nadu
2023-02-02,Tomato,Chennai,30,per_kg,Tamil Nadu
2023-02-03,Tomato,Chennai,28,per_kg,Tamil Nadu
2023-02-04,Tomato,Chennai,32,per_kg,Tamil Nadu
2023-02-05,Tomato,Chennai,35,per_kg,Tamil Nadu
2023-02-01,Rice,Chennai,46,per_kg,Tamil Nadu
2023-02-02,Rice,Chennai,47,per_kg,Tamil Nadu
2023-02-03,Rice,Chennai,48,per_kg,Tamil Nadu
2023-02-04,Rice,Chennai,46,per_kg,Tamil Nadu
2023-02-05,Rice,Chennai,49,per_kg,Tamil Nadu
2023-02-01,Banana,Chennai,34,per_kg,Tamil Nadu
2023-02-02,Banana,Chennai,36,per_kg,Tamil Nadu
2023-02-03,Banana,Chennai,35,per_kg,Tamil Nadu
2023-02-04,Banana,Chennai,37,per_kg,Tamil Nadu
2023-02-05,Banana,Chennai,38,per_kg,Tamil Nadu
2023-03-01,Coconut,Chennai,60,per_kg,Tamil Nadu
2023-03-02,Coconut,Chennai,63,per_kg,Tamil Nadu
2023-03-03,Coconut,Chennai,61,per_kg,Tamil Nadu
2023-03-04,Coconut,Chennai,65,per_kg,Tamil Nadu
2023-03-05,Coconut,Chennai,64,per_kg,Tamil Nadu
2023-03-01,Onion,Chennai,40,per_kg,Tamil Nadu
2023-03-02,Onion,Chennai,42,per_kg,Tamil Nadu
2023-03-03,Onion,Chennai,38,per_kg,Tamil Nadu
2023-03-04,Onion,Chennai,45,per_kg,Tamil Nadu
2023-03-05,Onion,Chennai,43,per_kg,Tamil Nadu
2023-03-01,Tomato,Chennai,35,per_kg,Tamil Nadu
2023-03-02,Tomato,Chennai,38,per_kg,Tamil Nadu
2023-03-03,Tomato,Chennai,40,per_kg,Tamil Nadu
2023-03-04,Tomato,Chennai,36,per_kg,Tamil Nadu
2023-03-05,Tomato,Chennai,42,per_kg,Tamil Nadu
2023-03-01,Rice,Chennai,47,per_kg,Tamil Nadu
2023-03-02,Rice,Chennai,48,per_kg,Tamil Nadu
2023-03-03,Rice,Chennai,49,per_kg,Tamil Nadu
2023-03-04,Rice,Chennai,48,per_kg,Tamil Nadu
2023-03-05,Rice,Chennai,50,per_kg,Tamil Nadu
2023-03-01,Banana,Chennai,36,per_kg,Tamil Nadu
2023-03-02,Banana,Chennai,38,per_kg,Tamil Nadu
2023-03-03,Banana,Chennai,37,per_kg,Tamil Nadu
2023-03-04,Banana,Chennai,39,per_kg,Tamil Nadu
2023-03-05,Banana,Chennai,40,per_kg,Tamil Nadu
