date,commodity,market,price,unit,state
2023-01-01,Wheat,Chennai,28.33,per_kg,Tamil Nadu
2023-01-01,Potato,Chennai,21.9,per_kg,Tamil Nadu
2023-01-01,Garlic,Chennai,87.12,per_kg,Tamil Nadu
2023-01-01,Chilli,Chennai,127.11,per_kg,Tamil Nadu
2023-01-01,Turmeric,Chennai,94.58,per_kg,Tamil Nadu
2023-01-01,Sugarcane,Chennai,37.84,per_kg,Tamil Nadu
2023-01-01,Coconut,Chennai,60.45,per_kg,Tamil Nadu
2023-01-01,Onion,Chennai,36.48,per_kg,Tamil Nadu
2023-01-01,Tomato,Chennai,27.01,per_kg,Tamil Nadu
2023-01-01,Rice,Chennai,47.36,per_kg,Tamil Nadu
2023-01-01,Banana,Chennai,34.63,per_kg,Tamil Nadu
2023-01-02,Wheat,Chennai,27.8,per_kg,Tamil Nadu
2023-01-02,Potato,Chennai,22.44,per_kg,Tamil Nadu
2023-01-02,Garlic,Chennai,79.61,per_kg,Tamil Nadu
2023-01-02,Chilli,Chennai,112.76,per_kg,Tamil Nadu
2023-01-02,Turmeric,Chennai,93.94,per_kg,Tamil Nadu
2023-01-02,Sugarcane,Chennai,37.2,per_kg,Tamil Nadu
2023-01-02,Coconut,Chennai,58.65,per_kg,Tamil Nadu
2023-01-02,Onion,Chennai,33.58,per_kg,Tamil Nadu
2023-01-02,Tomato,Chennai,24.9,per_kg,Tamil Nadu
2023-01-02,Rice,Chennai,47.96,per_kg,Tamil Nadu
2023-01-02,Banana,Chennai,34.91,per_kg,Tamil Nadu
2023-01-03,Wheat,Chennai,28.16,per_kg,Tamil Nadu
2023-01-03,Potato,Chennai,20.52,per_kg,Tamil Nadu
2023-01-03,Garlic,Chennai,83.9,per_kg,Tamil Nadu
2023-01-03,Chilli,Chennai,121.29,per_kg,Tamil Nadu
2023-01-03,Turmeric,Chennai,92.67,per_kg,Tamil Nadu
2023-01-03,Sugarcane,Chennai,38.51,per_kg,Tamil Nadu
2023-01-03,Coconut,Chennai,57.38,per_kg,Tamil Nadu
2023-01-03,Onion,Chennai,34.8,per_kg,Tamil Nadu
2023-01-03,Tomato,Chennai,26.99,per_kg,Tamil Nadu
2023-01-03,Rice,Chennai,48.23,per_kg,Tamil Nadu
2023-01-03,Banana,Chennai,35.16,per_kg,Tamil Nadu
2023-01-04,Wheat,Chennai,27.53,per_kg,Tamil Nadu
2023-01-04,Potato,Chennai,23.29,per_kg,Tamil Nadu
2023-01-04,Garlic,Chennai,82.06,per_kg,Tamil Nadu
2023-01-04,Chilli,Chennai,122.0,per_kg,Tamil Nadu
2023-01-04,Turmeric,Chennai,90.88,per_kg,Tamil Nadu
2023-01-04,Sugarcane,Chennai,37.04,per_kg,Tamil Nadu
2023-01-04,Coconut,Chennai,58.67,per_kg,Tamil Nadu
2023-01-04,Onion,Chennai,36.77,per_kg,Tamil Nadu
2023-01-04,Tomato,Chennai,28.99,per_kg,Tamil Nadu
2023-01-04,Rice,Chennai,47.1,per_kg,Tamil Nadu
2023-01-04,Banana,Chennai,34.97,per_kg,Tamil Nadu
2023-01-05,Wheat,Chennai,27.32,per_kg,Tamil Nadu
2023-01-05,Potato,Chennai,21.52,per_kg,Tamil Nadu
2023-01-05,Garlic,Chennai,84.52,per_kg,Tamil Nadu
2023-01-05,Chilli,Chennai,126.09,per_kg,Tamil Nadu
2023-01-05,Turmeric,Chennai,96.55,per_kg,Tamil Nadu
2023-01-05,Sugarcane,Chennai,36.71,per_kg,Tamil Nadu
2023-01-05,Coconut,Chennai,58.96,per_kg,Tamil Nadu
2023-01-05,Onion,Chennai,34.86,per_kg,Tamil Nadu
2023-01-05,Tomato,Chennai,27.1,per_kg,Tamil Nadu
2023-01-05,Rice,Chennai,47.58,per_kg,Tamil Nadu
2023-01-05,Banana,Chennai,36.23,per_kg,Tamil Nadu
2023-01-06,Wheat,Chennai,28.81,per_kg,Tamil Nadu
2023-01-06,Potato,Chennai,21.46,per_kg,Tamil Nadu
2023-01-06,Garlic,Chennai,85.15,per_kg,Tamil Nadu
2023-01-06,Chilli,Chennai,123.09,per_kg,Tamil Nadu
2023-01-06,Turmeric,Chennai,98.22,per_kg,Tamil Nadu
2023-01-06,Sugarcane,Chennai,37.93,per_kg,Tamil Nadu
2023-01-06,Coconut,Chennai,58.29,per_kg,Tamil Nadu
2023-01-06,Onion,Chennai,33.68,per_kg,Tamil Nadu
2023-01-06,Tomato,Chennai,26.0,per_kg,Tamil Nadu
2023-01-06,Rice,Chennai,47.74,per_kg,Tamil Nadu
2023-01-06,Banana,Chennai,36.58,per_kg,Tamil Nadu
2023-01-07,Wheat,Chennai,28.26,per_kg,Tamil Nadu
2023-01-07,Potato,Chennai,23.75,per_kg,Tamil Nadu
2023-01-07,Garlic,Chennai,87.35,per_kg,Tamil Nadu
2023-01-07,Chilli,Chennai,118.96,per_kg,Tamil Nadu
2023-01-07,Turmeric,Chennai,96.89,per_kg,Tamil Nadu
2023-01-07,Sugarcane,Chennai,39.8,per_kg,Tamil Nadu
2023-01-07,Coconut,Chennai,58.61,per_kg,Tamil Nadu
2023-01-07,Onion,Chennai,38.6,per_kg,Tamil Nadu
2023-01-07,Tomato,Chennai,22.73,per_kg,Tamil Nadu
2023-01-07,Rice,Chennai,47.79,per_kg,Tamil Nadu
2023-01-07,Banana,Chennai,35.5,per_kg,Tamil Nadu
2023-01-08,Wheat,Chennai,28.17,per_kg,Tamil Nadu
2023-01-08,Potato,Chennai,22.73,per_kg,Tamil Nadu
2023-01-08,Garlic,Chennai,80.48,per_kg,Tamil Nadu
2023-01-08,Chilli,Chennai,121.14,per_kg,Tamil Nadu
2023-01-08,Turmeric,Chennai,97.03,per_kg,Tamil Nadu
2023-01-08,Sugarcane,Chennai,39.81,per_kg,Tamil Nadu
2023-01-08,Coconut,Chennai,57.98,per_kg,Tamil Nadu
2023-01-08,Onion,Chennai,34.44,per_kg,Tamil Nadu
2023-01-08,Tomato,Chennai,27.96,per_kg,Tamil Nadu
2023-01-08,Rice,Chennai,47.89,per_kg,Tamil Nadu
2023-01-08,Banana,Chennai,35.78,per_kg,Tamil Nadu
2023-01-09,Wheat,Chennai,28.07,per_kg,Tamil Nadu
2023-01-09,Potato,Chennai,23.31,per_kg,Tamil Nadu
2023-01-09,Garlic,Chennai,86.91,per_kg,Tamil Nadu
2023-01-09,Chilli,Chennai,126.75,per_kg,Tamil Nadu
2023-01-09,Turmeric,Chennai,94.63,per_kg,Tamil Nadu
2023-01-09,Sugarcane,Chennai,38.25,per_kg,Tamil Nadu
2023-01-09,Coconut,Chennai,58.26,per_kg,Tamil Nadu
2023-01-09,Onion,Chennai,33.37,per_kg,Tamil Nadu
2023-01-09,Tomato,Chennai,30.03,per_kg,Tamil Nadu
2023-01-09,Rice,Chennai,47.55,per_kg,Tamil Nadu
2023-01-09,Banana,Chennai,35.55,per_kg,Tamil Nadu
2023-01-10,Wheat,Chennai,28.29,per_kg,Tamil Nadu
2023-01-10,Potato,Chennai,21.08,per_kg,Tamil Nadu
2023-01-10,Garlic,Chennai,85.54,per_kg,Tamil Nadu
2023-01-10,Chilli,Chennai,121.12,per_kg,Tamil Nadu
2023-01-10,Turmeric,Chennai,94.53,per_kg,Tamil Nadu
2023-01-10,Sugarcane,Chennai,38.46,per_kg,Tamil Nadu
2023-01-10,Coconut,Chennai,59.55,per_kg,Tamil Nadu
2023-01-10,Onion,Chennai,39.51,per_kg,Tamil Nadu
2023-01-10,Tomato,Chennai,29.88,per_kg,Tamil Nadu
2023-01-10,Rice,Chennai,47.59,per_kg,Tamil Nadu
2023-01-10,Banana,Chennai,35.54,per_kg,Tamil Nadu
2023-01-11,Wheat,Chennai,27.33,per_kg,Tamil Nadu
2023-01-11,Potato,Chennai,22.82,per_kg,Tamil Nadu
2023-01-11,Garlic,Chennai,87.16,per_kg,Tamil Nadu
2023-01-11,Chilli,Chennai,134.01,per_kg,Tamil Nadu
2023-01-11,Turmeric,Chennai,96.14,per_kg,Tamil Nadu
2023-01-11,Sugarcane,Chennai,38.94,per_kg,Tamil Nadu
